major_code,num,title,writer,date,content,img_url,file_url
501,90,[생명화공] 바이오의약품 정제실험 포트폴리오 경진대회 수상자 발표,이민서,2022.06.09,"바이오의약품 정제실험 포트폴리오 경진대회 수상자 공지



학번
이름
최우수상
20192956
문*석
우수상
20184696
방*규
20212504
이*리
장려상
20211503
김*지
20212501
김*원
20212521
전*철



수상을 축하하며, 바이오의약품 정제실험 포트폴리오 경진대회에 참여한 학생 여러분 모두 수고 많았습니다.



경진대회 수상자들은 통장 사본을 06/13(월) 오전까지 학과사무실로 제출 바랍니다.





-생명화학공학과-",,[]
501,89,[생명화공] 생명공학 프로젝트 경진대회 수상자 발표,이민서,2022.06.09,"생명공학 프로젝트 경진대회 수상자 공지



수상팀명
학번
팀장명
최우수상
5팀
20212501
김*원
우수상
2팀
20211503
김*지
3팀
20211524
윤*인
장려상
6팀
20212520
길*연
1팀
20163705
이*운
4팀
20211544
정*훈


수상을 축하하며, 생명공학 프로젝트 경진대회에 참여한 학생 여러분 모두 수고 많았습니다.



경진대회 수상팀 팀장은 통장 사본을 06/13(월) 오전까지 학과사무실로 제출 바랍니다.




-생명화학공학과-",,[]
501,88,[학부] 2022학년도 1학기 공휴일(6.1 지방선거)에 따른 휴보강 안내,황진하,2022.06.03,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000008/6.1_%EC%A7%80%EB%B0%A9%EC%84%A0%EA%B1%B0%EB%A1%9C_%EC%9D%B8%ED%95%9C_%ED%9C%B4%C2%B7%EB%B3%B4%EA%B0%95_%EC%95%88%EB%82%B4001.jpg,[]
501,87,[생명화공] 2022-1학기 생명화학공학과 기말고사 시험 시간표 안내,이민서,2022.06.03,"2022학년도 1학기 기말고사를 다음과 같이 실시합니다.


*공지를 확인하지 않아 생기는 불이익은 책임지지 않습니다. 

*전공시험일정 변경 시 재안내하오니 시험 당일까지 확인하여 착오없기 바랍니다.

*반드시 마스크를 착용하여 주시고 비치된 손세정제를 사용 후 입실해 주시기 바랍니다.

*시험 응시 전 본인 반과 강좌번호 확인 후 강의실 들어가시기 바랍니다.

※실험분반(T5,T6,T7) 강의를 수강 중인 학생의 경우 본인 소속 반이 아닌 반드시 실험 분반 시험 강의실에서 시험을 응시하시기 바랍니다.



**전공심화과정 학생은 2022-1학기 강의시간표 상 수업시간에 시험을 실시합니다. 

(각 교과목 교수님 공지를 확인해주시기 바랍니다.)


[생명화공CAD 상세 일정]
2022.06.21(화)
- 15:00 : T1
- 16:30 : T2
- 18:00 : T3
(해당 수업을 수강하는 학생들은 교수님 공지 및 원격수업을 한번 더 확인하시기 바랍니다.)

- 다  음 -

1. 기간 
     - 전공 시험일 : 2022.06.15.(수), 06.17.(금), 06.21.(화)
    - 교양 시험일 : 2022.06.16.(목), 06.20.(월)
  2. 시험시간표
    - 전공과목 시험시간표 : 첨부파일 참조
      (시험일정 변경 시 재 안내하오니 시험당일까지 확인하여 착오없길 바랍니다)
    - 교양과목 시험시간표 : 학교 공지사항 참조

3. 준비물 : 학생증(신분증), 필기도구, 공학용계산기
※ 공학용계산기 지참 필수(계산기를 가져오지 못해 받는 불이익은 본인책임) 

4. 대면 평가 시 수험생 유의사항
 가. 시험 고사실에서는 핸드폰 등 전자제품의 전원을 반드시 꺼야 합니다.
 나. 시험 시작 전 신분증과 필기도구를 제외한 모든 소지품은 가방 안에 정리한 후 가방을 책상 아래에
     내려 놓아야 합니다.
 다. 수험생은 감독교수에게 학생증 또는 신분증을 반드시 제시해야 합니다.
 라. 시험 시작 후 10분이 경과하면 입실이 금지됩니다.

[대면 평가 시행 시 유의사항]
 ⦁ 의심 증상이 있어 시험 당일 등교가 불가능하고 진료확인서 제출이 어려운 경우에는 홀로 또는
   충분한 거리두기가 확보되는 소수만으로 평가하는 방법을 제공함
    (단, 해당 학생이 담당교수에게 시험 전에 알린 경우에 한함)
 ⦁ 코로나19감염증 예방을 위한 방역수칙 준수
   1) 마스크 착용
   2) 입실 전 손 소독제 사용
   3) 책상, 의자, PC 등 손이 닿는 부분은 소독 티슈로 닦은 후 사용
   4) 교내 상주 시간을 줄이기 위해 가능한 시험 시작 시간에 맞춰 등교
   5) 본인 시험 종료 후 즉시 귀가
   ※손 소독제와 소독 티슈는 각 강의실 출입문 밖에 비치 예정

5. 코로나19감염증 관련 결시 인정 기준
 ⦁ 확진, 자가격리 등으로 인한 결시는 증빙서류(입·퇴원 확인서, 보건소 자가격리 통지 문자 등)를 
    제출해야 인정됨",,[{'https://www.dongyang.ac.kr/bbs/dmu_21096/328/30970/download.do': '2022학년도 1학기 기말고사 시험 시간표(공지용).pdf'}]
501,86,[생명화공] 휴보강 안내 - 분석화학(T4),이민서,2022.06.03,"휴·보강 안내

담당 교수의 부득이한 사정으로 다음과 같이 휴·보강을 진행합니다. 해당 강좌 수강 학생은 참조하시기 바랍니다.
 
- 다   음 -

1. 휴·보강 일정

NO
개설강좌
휴강일
과목명
강좌
담당교수
보강일시
1
분석화학
T4
이경훈
6월 14일(화)
6월 8일(수)
7-9교시


2022. 06. 03.

 
생명화학공학과",,[]
501,85,[생명화공] 2022학년도 생명화공 포트폴리오 경진대회 안내,이민서,2022.05.30,"공 고
  생명화공 포트폴리오 경진대회
  종목
▶1학년: 일반화학실험과 바이오기초실험의 실험결과 보고서
(가장 잘 작성된 실험결과보고서 5개 제출)
▶2학년: 기기분석실험과 단위조작실험의 실험결과 보고서
(가장 잘 작성된 실험결과보고서 5개 제출)

시상금
학년별 최우수상: 1명, 20만원 시상금 지급
학년별 우수상: 2명, 15만원 시상금 지급
학년별 장려상: 5명, 10만원 시상금 지급
*참여인원에 따라 수상인원이 조정될 수 있습니다.
  신청기간: 2022.05.31.(화)~06.03.(금)까지

신청방법: 각 학년 선착순 20명 접수
학교 홈페이지 > 두잇(DOIT) > 커뮤니티 >‘취업교육 프로그램’에서 신청

생명화공 포트폴리오 제출: 06.21(화) 당일 10시~17시

생명화공 레포트 제출장소: 4호관 306호 학과사무실

생명화공 포트폴리오 심사: 06.22(수) 16시~18시

생명화공 포트폴리오 수상자 발표: 06.24(금) 10시
  참가자격: 생명화학공학과 1,2학년 재학생 전원
   
-생명화학공학과-",,[]
501,84,"[생명화공] 휴보강 안내 - 바이오기초실험(T2,T5)",이민서,2022.05.27,"휴·보강 안내

실습기반 수업으로 6/1(수) 수업을 6/14(화)에 진행할 경우 지난 2주 동안 진행했던 실험결과물에 차질이 생겨 다음과 같이 휴·보강을 진행합니다. 해당 강좌 수강 학생은 참조하시기 바랍니다.
  - 다   음 -

1. 휴·보강 일정

NO
개설강좌
휴강일
과목명
강좌
담당교수
보강일시
1
바이오기초실험
T2
이하윤
6월 14일(화)
5월 31일(화)
9-12교시
2
바이오기초실험
T5
지갑주
6월 14일(화)
6월 1일(수)
1-4교시


2022. 05. 27.

 
생명화학공학과",,[]
501,83,[학부] 2022학년도 대학생활적응검사 2차 미실시자 추가 실시 안내,황진하,2022.05.16,"<2022학년도 대학생활적응검사 2차 미실시자 추가 실시 안내>

미실시자 대상으로 아래 해당 기간 동안 추가 검사를 실시합니다. 대상 학생들은 참여하시기 바랍니다.
코로나19의 확산 방지를 위하여 지난 1차 검사 때와 마찬가지로 학생종합관리시스템(DOIT)☜클릭 을 활용하여 온라인으로 검사를 시행합니다. 자세한 실시 방법은 첨부된 매뉴얼을 확인하여 주시기 바랍니다.


1. 참여 대상: 2022학년도 신입생(1학년)
2. 참여 기간: 2022.05.16.(월)~ 05.29.(일) 2주간 미실시자 추가 실시

3. 참여 방법: 모바일 또는 PC로 학생종합관리시스템(DOIT)에 접속하여 실시 ☞ 첨부된 실시 매뉴얼 참고

4. 소요 시간: 약 15~20분 정도 (※ 모든 문항에 응답하시기 바랍니다.)

5. 결과 열람: 검사 실시 직후에 DOIT에서 본인의 ‘학생용 결과지’를 열람할 수 있습니다.
      6. 기타 문의: 학생상담센터 (02-2610-1710)






붙임 1. 학생용_대학생활적응검사 2차 실시 매뉴얼 1부.
       2. 학생용_대학생활적응검사 2차 실시 매뉴얼 요약본 1부.  끝.



2022. 5. 16.

생 활 환 경 공 학 부",https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/%EB%B6%99%EC%9E%84_4._%EB%8C%80%ED%95%99%EC%83%9D%ED%99%9C%EC%A0%81%EC%9D%91%EA%B2%80%EC%82%AC_2%EC%B0%A8_%EC%95%88%EB%82%B4_%EC%9B%B9%ED%8F%AC%EC%8A%A4%ED%84%B0(%ED%99%8D%EB%B3%B4%EC%9A%A9).jpg,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30886/download.do': '붙임 1. 학생용_대학생활적응검사 2차 실시 매뉴얼.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30887/download.do': '붙임 2. 학생용_대학생활적응검사 2차 실시 매뉴얼 요약본.pdf'}]"
501,82,[학부] '공적사유로 인한 출석인정신청' 안내,김병숙,2022.05.13,"공적사유로 인한 출석인정신청 안내





대면수업이 시작함에 따라 '공적사유로 인한 출석인정신청' 신청수가 많아져 학생들에게 신청 방법을 안내합니다.

학생분들은 내용을 참고하시고 사유에 해당하는 신청절차와 증빙을 준비하시기 바랍니다.



• 인정범위 및 제출 증빙서류
※ 다음 표와 같은 결석사유가 발생할 경우에는 ""공적사유로 인한 출석인정신청서""에 증빙서류를 첨부하여 사유 종료 후 즉시 지도교수 및 학부(과)장 확인을 거쳐 교학처에 제출할 시 인정을 받을 수 있습니다.
결석사유
출석인정일수
1.
국가에서 부과한 의무를 수행하기 위한 기간
(본인의 코로나 확진으로 인해 국가에서 부과한 자가격리조치 기간)
해당일
2.
총장이 승인한 학교 공무 기간
해당일
3.
본인의 결혼
7일
4.
자녀, 배우자, 본인 또는 배우자의 부모 사망
5일

5.
본인 또는 배우자의 (외)조부모, 형제자매 사망
3일
6.
본인의
질병
6-1.
일반 질병
학기당 3회
(단, 6-2-3은
각 1회
추가 가능)
총 21일
이내


6-2.
사고로 인한 입원
6-3.
법정 감염병 감염
6-4.
만성질환
횟수 제한
없음
7.
배우자 출산
3일


8.
기타 총장이 부득이하다고 인정한 기간
해당일
 출석인정일수는 결석사유가 발생한 당일을 포함하여 연속하는 기간동안 인정되며, 학칙 제10조에서 정한 정기휴업일을 포함한다.
   (학칙 제10조 (휴업일) 개교기념일, 토요일, 일요일, 국정공휴일, 근로자의 날)
 위 항목에 의하여 출석인정일수는 총 수업일수의 1/4를 초과할 수 없으며, 조기취업자 등 특별한 경우에 대한 출석 인정에 대해서는 총장이 따로 정한다.


• 신청방법 1
출석 인정서 작성(학생)
▷ 
소속학과 경유
▷
출석 인정 신청서 제출
교내홈페이지 > 대학생활 > 동양광장 > 서류양식
'공적 사유로 인한 출석인정 신청서' 출력 후
작성 및 본인 날인 또는 서명
지도교수, 학과장
날인
증빙서류 지참하여 학생서비스센터 방문
[1호관402호]


• 신청방법 2 (결격사유가 본인의 질병(일반 질병)일 경우)
결석 사유가 본인의 질병(일반 질병)일 경우, 학생이 직접 e서비스에서 신청합니다. * [붙임2] 참조

출석 인정서 작성(학생)
▷
소속학과 경유
▷
출석 인정 신청서 제출
e서비스 > 수업과성적 >
출석인정신청 > 신청서 출력
지도교수, 학과장
날인
증빙서류 지참하여 학생서비스센터 방문
[1호관402호]


• 제출기한
증빙서류와 함께 결석일 포함 일주일(7일) 이내 학생서비스센터에 제출








2022. 5. 18.

생 활 환 경 공 학 부",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30883/download.do': '[수업] 공적사유로인한출석인정신청서.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30884/download.do': '[붙임 2] 공적사유로인한출석인정신청_본인의질병(일반질병)_학생매뉴얼.pdf'}]"
501,81,[학부] 2022학년도 1학기 교내장학금(후지급) 신청 안내,김병숙,2022.05.13,"2022학년도 1학기 교내장학금(후지급) 신청 안내


신청기간 : 2022.5.16.(월) ~ 6.17.(금)
신청방법 : 
- e-서비스 신청 및 증빙서류 학부(과) 제출 
- 증빙서류 제출기간 : 2022.5.16.(월) ~ 6.17.(금) 17시까지
※ 장학금 신청 안내 등 첨부 파일을 반드시 확인하시기 바랍니다!!

 ",https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/20220511164017508_OIFEIB2L_1.png https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/20220511171320359_2DSJS3PR_1.png,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30880/download.do': '2022학년도 1학기 장학금 신청 안내.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30881/download.do': '[붙임] 장학금 지급 기준 및 증빙 서류.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30882/download.do': '2022학년도 1학기 성적향상 계획서.hwp'}]"
