major_code,num,title,writer,date,content,img_url,file_url
302,353,[컴정] 2022-1 현장실습 안내,김범기,2022.06.10,"      [하계 현장실습 안내]



실습 기간 : 2022.06.27.(월) ~ 2022.07.29.(금)

            가. 표준 현장실습학기제 : 최소 일 8시간, 1개월 이상 진행
            ※ 실습 가능 마지막 시작일 : 2022.06.29.(수)
            나. 자율 현장실습학기제 : 최소 일 8시간, 4주 이상(160시간)
            ※ 실습 가능 마지막 시작일 : 2022.07.04.(월)

실습 조건 :

가. 실습 대상자 : 재학생
※ 실습 비대상자 : 휴학생, 산업체 위탁생 및 재직자(조기 취업자 포함)
나. 실습 시기 : 3년제는 2학년 하계 방학부터, 2년제는 1학년 동계 방학부터 가능
다. 실습 기간 산정 : 토요일, 법정공휴일, 실습 기관 휴일 등을 제외한 기간만 산정


현장실습 참여를 원하시는 학생분들께서는 6/10(금)까지 Doit을 통해 현장실습 신청을 부탁드립니다.",,[]
302,352,"[학부] 정보처리산업기사(이론) 단기특강 06/22~06/29, 30시간",윤해수,2022.06.08,"       [ 컴퓨터공학부 정보처리산업기사 (이론) 단기특강 안내 ]

1. 대상 : 컴퓨터공학부

2. 교육일정 : 2022. 06. 22(수) ~ 29(수). 13:00 ~ 18:00, (6일 30시간)

3. 신청기간 : 현재부터 ~ 06.10(금)까지

4. 교육장소 : 3호관 전산실습실 (추후공지)

5. 담당교수 : 김희숙 교수, 최진영 교수

6. 교재 : 시나공 정보처리산업기사 필기 2022
   * 교재 지급

7. 신청: Do-it(취업정보시스템)에서 온라인신청

8. 참고사항 : 공식적인 사유(예, 예비군 훈련 등) 외 전원 필참
   (결석 시 향후 학부에서 진행하는 모든 특강 참여 불가)
    * 결석 하지 않을 학생만 신청

9. 기타: 특강 출석 서약서 작성 후  파일 첨부",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/31012/download.do': '정보처리산업기사 (이론) 특강 서약서.hwp'}]
302,351,[컴정] 2022학년도 1학기 기말고사 시간표 안내(06/09),김범기,2022.06.02,"* 등교 시 반드시 마스크를 착용해야만 교내 출입이 가능합니다. 
* 의심 증상이 있어 시험 당일 등교가 불가능하고 진료확인서 제출이 어려운 경우, 홀로 또는 충분한 거리두기가 확보되는 소수만으로 평가하는 방법을 제공합니다.
   (단, 해당 학생이 담당교수에게 시험 전에 알린 경우에 한함)
* 시험 기간에 마스크가 훼손된 학생은 학부사무실(3호관 208호)에 방문하시면 마스크를 드립니다.

수정사항
1. IoT 소프트웨어 개발 PC반 강좌  /  변경 전 : (6/15) 15:00 ~17:50 / 변경 후 : (6/21) 09:00~ 11:50

1. 기말고사 기간
   가. 전공 : 2022.06.15.(수), 06.17.(금), 06.21.(화)
   나. 교양 : 2022.06.16.(목), 06.20.(월)
  2. 시험시간표
  가. 전공과목 시험시간표 : 첨부파일 참조
      (시험일정 변경 시 재 안내하오니 시험당일까지 확인하여 착오없길 바랍니다)
  나. 교양과목 시험시간표 : 첨부파일 참조

3. 대면 평가 시 수험생 유의사항
   가. 시험 고사실에서는 핸드폰 등 전자제품의 전원 OFF
   나. 시험 시작 전 신분증 및 필기도구를 제외한 소지품은 책상 위에 놓으면 안됨
   다. 부정행위자는 성적 무효처리와 함께 학칙에 의거하여 징계 조치함
  4. 코로나19감염증 예방을 위한 방역수칙 준수
   1) 마스크 착용
   2) 입실 전 손 소독제 사용
   3) 책상, 의자, PC 등 손이 닿는 부분은 소독 티슈로 닦은 후 사용
   4) 교내 상주 시간을 줄이기 위해 가능한 시험 시작 시간에 맞춰 등교
   5) 본인 시험 종료 후 즉시 귀가
   ※손 소독제와 소독 티슈는 각 강의실 출입문 밖에 비치 예정

5. 기타
 - '공적사유로 인한 결시(출석) 인정' 안내
    => 단순 외래 진료로 인한 결시(또는 출석) 인정은 불가
         (병결 인정 범위는 병원 입원으로 인한 불가피한 사항만 인정함)

                                                       상벌규칙 제14조(시험 부정행위에 대한 징계 조치)
① 다음 각 호의 1에 해당하는 학생은 해당교과목의 시험성적을 무효로 하고 근신이상의 징계를 한다.
   1. 타인에게 답안을 보여주거나 보고 쓰는 자
   2. 구두로 답안을 불러주거나 참고물을 보고 답안을 작성한 자

② 다음 각 호의 1에 해당하는 학생은 당해 기간 동안 실시되는 전 교과목의 시험 성적을 무효로 하고 유기정학 이상의 징계를 한다.
   1. 작성한 답안지를 서로 교환한 자
   2. 대리시험을 행한 자나 응시케 한 자
   3. 감독자의 지시에 불응하거나 이를 거부한 자


컴퓨터공학부

문의 : 02-2610-1995, 3호관 208호",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21095/321/30955/download.do': '2022-1기말고사 교양과목 시간표(공지용)_05.31.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/321/31061/download.do': '2022-1 컴퓨터정보공학과 기말고사 시간표 (06.09).pdf'}]"
302,350,[학부] 2022학년도 1학기 여름방학 컴퓨터공학부 근로장학생 모집,황창현,2022.05.31," 2022학년도 1학기 여름방학 컴퓨터공학부 근로장학생 모집


 1. 모집안내 
  - 내용 : 실습지원실(3호관 210-1호) 근로학생
  - 대상 : 컴소 1, 2학년 / 컴정 1학년 / 인공 1학년 / 컴소 학사학위(4학년)

 2. 업 무
  - 실습지원실 : 전산실습실 관리 지원

 3. 모집기간 
   - 5/31(화) ~ 6/8(수) 
      4. 모집요건 
  - 직전학기 성적 3.0 이상(1학년의 경우 직전학기 성적 무관)
  - 컴소(3학년 1학기), 인공(3학년 1학기) / 컴정(2년제/2학년 1학기, 3년제/3학년 1학기) 까지 근무 가능한 재학생
  - 컴퓨터 활용능력 우수자 및 군필자 우선 선발/우대
  - 주간, 야간 상관없이 근무 가능한 재학생
  - 근무 시작은 여름방학부터 주 5일(8시간) 근무

 5. 신청방법 : 첨부파일 작성하여 메일 및 방문 제출
  - 이메일 : changhyeonh@dongyang.ac.kr
  - 방문 : 학부사무실 방문 제출(3호관 208호)

 6. 기타 
  - 필요 시 면접을 통하여 선발하며, 면접일정은 추후 개별 안내 예정
  - 학사 학생의 경우 주 최대 40시간
 
 7. 문의
  - 컴퓨터공학부 사무실 : 3호관 208호, 02-2610-1844",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/30942/download.do': '컴퓨터공학부_근로장학생_지원서.hwp'}]
302,349,[학부] 2022학년도 1학기 컴퓨터공학부 사물함 반납 안내,황창현,2022.05.30,"2022학년도 1학기 컴퓨터공학부 사물함 반납 안내

1. 사물함 열쇠 반납 가능 기간
   1) 학기 중 : 5/30(월) ~ 6/14(화), 
   2) 시험 기간 중 : 6/16(목), 6/20(월)
   3) 방학 중 : 6/22(수) ~ 6/24(금)


2. 장소
 - 컴퓨터공학부 사무실(3호관 208호)

3. 방법
 - 학생증과 열쇠를 지참하여 컴퓨터공학부 사무실 방문. 반납하는 사물함 열쇠와 학생증을 근로장학생에게 제시


4. 주의사항
1) 반납기간은 주간학생, 산업체위탁생/학사 모두 동일하게 적용됩니다.
2) 시험 기간 중 전공 시험 날에는 사무실 출입이 불가하므로 반납이 불가합니다. (교양 시험날에만 반납 가능)
3) 마지막 날에 몰리는 것을 방지하기 위하여 여러 기간으로 나누었으니 위 기간에 맞춰 반납 부탁드립니다.

5. 문의
 - 컴퓨터공학부 02-2610-1844",,[]
302,348,[컴정] 휴보강 안내 - 웹서버프로그래밍(PA),김범기,2022.05.26,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000008/20220526092125221_3976GDTI.png,[]
302,347,[컴정] 휴보강 안내 - 웹프로그래밍기초(PC),김범기,2022.05.19,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/20220519102910888_JKIQ7H9T.png,[]
302,346,2022학년도 졸업작품 실습재료 구입 신청서 및 실습재료 구입 신청 안내,김범기,2022.05.18,"2022학년도 졸업작품 실습재료 구입 신청서 및 실습재료 구입 신청 안내

졸업작품 실습재료 구입 시 신청서 작성 후 학과 사무실에 제출 부탁드립니다.
기간: 05/23(월) ~ 06/14(화) [※ 단가 최소 금액은 5,000원 이상이여야 하며 팀별 총 구입 금액은 총 20,000 이상일 시 실습재료 구입이 가능 ※]
구매 가능 시간: 10:00 ~ 16:00

[신청시 주의사항]
1. 개별 신청이 아닌 수업시간에 구성된 팀별로 신청함
2. 졸업작품 재료비 지원은 선착순으로 진행되며 경우에 따라서 대기를 해야 할 수 있음
3. 정확한 품목명 및 규격, 단가(부가세 포함)를 기재해야 함
4. 국내 판매 품목에 한하여 신청가능하며, 외국사이트 품목은 불가
5. 신청하는 품목에 대한 배송비까지 포함하여 작성해야함
6. 신청품목을 온라인으로 구매 할 경우 미리 해당 품목들을 장바구니에 추가하여야 함 
  [구매절차]
1. 각 반별 담당 교수님 확인 후 서명을 받아서 학과 사무실 방문 
2. 학과 사무실 방문 후 졸업작품 신청서 제출 후 학과 담당자 승인
3. 학과 담당자 승인 후 1호관 6층 산학처에 방문하여 미리 장바구니에 담아온 졸업작품 결제
4. 결제 후 거래명세서 및 영수증 학과사무실에 제출 (신청서와 사용 금액이 동일해야 함)
5. 제품 수령 후 구매한 모든 물품의 이미지를 촬영 후 사진 제출 (이메일 제출 가능)

※재료 구매시 배송지는 학교주소로만 주문이 가능합니다.
  이메일 : qjarl5678@dongyang.ac.kr
 ",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/321/30926/download.do': '2022학년도 졸업작품 재료 신청서(컴퓨터정보공학과).hwp'}]
302,345,[학부] 2022년도 전문기술인재장학금 신규장학생 신청 안내(4/29까지),이재천,2022.04.22,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/2022_%EC%A0%84%EB%AC%B8%EA%B8%B0%EC%88%A0%EC%9D%B8%EC%9E%AC%EC%9E%A5%ED%95%99%EC%83%9D.png,"[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/30755/download.do': '2022년 전문기술인재장학금 신규장학생 자체선발 기준.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/30758/download.do': '신입생 장학금 신청 양식.zip'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/30759/download.do': '재학생(2,3학년) 장학금 신청 양식.zip'}]"
302,344,[컴정] 2022-1학기 9주차 이후 대면수업 실시 및 코로나 관련 출석 인정 안내(04/22),김범기,2022.04.22,"2022-1학기 9주차 이후 대면수업 실시 안내

시간표 변경사항: 
컴퓨터공학기초 (PB,PC) 강의실 변경 / 3호관 316호 -> 3호관 216호 
시스템분석설계 (PC) 강의실 변경 / 3호관 315호 -> 3호관 212호


1. 실시 기간 : 4/28(목)부터 학기 말까지

2. 9주차 이후 비대면수업 현황
    2022-1학기 컴퓨터정보공학과 강의시간표 첨부파일 확인
    *빨간색으로 표기된 것이 비대면 수업
학과
학년 - 반
교과목   
컴퓨터정보공학과
2 - PE
지능형소프트웨어프로그래밍
컴퓨터정보공학과
1 - PH
컴퓨터활용실습
컴퓨터정보공학과
1 - PH
컴퓨터공학기초
컴퓨터정보공학과
2 - PH
C애플리케이션구현
컴퓨터정보공학과
2 - PH
시스템분석설계(종합설계)

3. 코로나 관련 출석 인정
    ※ 확진으로 인한 격리로 대면 수업 출석이 불가능한 학생의 '공적 사유로 인한 출석 인정 신청'
        - 인정 기간 : (5월 하순으로 예상되는) 격리조치 해제 시까지
        - 인정 조항 : 「학칙시행세칙」 제37조(출석인정 및 허가) 제1항 제1호 ‘국가에서 부과한
                          의무를 수행하기 위한 기간’으로 신청
        - 증빙 : 확진과 격리기간이 나타나 있는 문자 메시지 등

    ※ 격리기간 종료 후 몸이 아프거나 5월 하순 격리조치 해제 후
        - 인정 조항 : 「학칙시행세칙」제37조(출석인정 및 허가) 제1항 제6-1호 ‘일반 질병’
        - 증빙 : 의료기관 진단서 또는 병명이 기재된 진료확인서

    ※ 상기 사유 외 출석인정은 불가하며, 대면 수업 불참 승인 신청서는 더 이상 받지 않습니다.

3. 유의사항
    - 강좌별 원격수업시스템 공지사항을 꼭 확인하시기 바랍니다.
    - 대면수업은 반드시 KF94 마스크를 착용하여 주시길 바랍니다.
    - 교수 확진시 즉시 비대면 수업으로 전환될 수 있습니다.
    - 학과 시간표 변동사항이 있을 수 있으니 유의하시기 바랍니다.


                                - 컴퓨터공학부 -",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/321/30838/download.do': '2022-1_컴퓨터정보공학과_강의시간표_20220504_v7.2.pdf'}]
