major_code,num,title,writer,date,content,img_url,file_url
503,1300,"[건축] 휴·보강 안내 [구조모형실습(U2),철골구조(U3)]",황진하,2022.11.17,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/2022-2%ED%95%99%EA%B8%B0_%EA%B1%B4%EC%B6%95%EA%B3%BC_11.18(%EA%B8%88)_%ED%9C%B4%EA%B0%95%EC%9D%BC%EC%A0%95_%EA%B3%B5%EC%A7%80001.jpg,[]
503,1299,"[건축] 1~2학년 취업특강(산업체인사 초청특강) 참여 안내 - 11/24(목), 16시",원종규,2022.11.16,"건축과에서는 1~2학년 재학생을 대상으로 진로방향 설정에 도움을 주고자 설계와 품질 및 시공분야
재직중인 동문선배를 모시고 다음과 같이 취업특강을 준비하고 있습니다.
선배들의 대학시절 고민과 진로 설정과정 및 관련분야에 대한 정보를 얻을 수 있는 소중한 시간입니다.
학생들의 많은 참여 기대합니다.
   1. 일시 : 2022년 11월 24일(목), 16시00분~18시00분까지
       * 원활한 특강진행을 위해 15시45분까지 입실을 해주세요.

 2. 장소 : 1호관(대학본부) 5층 소강당
   3. 대상 : 1,2학년 재학생
   4. 특강내용
강사명
특강시간    
소속명/직위
특강제목
성승현
16:00~17:00
(주)한국종합건축사사무소
/ 대리
건축설계 졸업생의 과거와 현재 
그리고 미래
박진홍
17:00~18:00
(주)신일 / 기사
건축시공 전문가와의 진로탐색

 5. 기타
   - 참여하는 학생들의 일부에게 소정의 상품 추첨의 기회가 있습니다.",,[]
503,1298,[학부] 2022학년도 2학기 교내장학금(후지급) 신청 안내,김용민,2022.11.16,"                2022학년도 2학기 교내장학금(후지급) 신청 안내


□ 신청기간: 2022.11.16.(수) ~ 12.8.(목)
□ 장학금 종류: 미래장학금 외 9종류
□ 신청방법: e서비스 신청 및 증빙서류 학부(과) 제출
※ 장학금 신청 안내 등 붙임 파일을 반드시 확인하시기 바랍니다.",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/20221116165128370_08SNKY4Z.png,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32116/download.do': '[붙임1] 2022학년도 2학기 장학금 신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32117/download.do': '[붙임2] 장학금 지급 기준 및 증빙 서류.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32118/download.do': '[붙임3] 2022학년도 2학기 성적향상 계획서.hwp'}]"
503,1297,"[건축, 실내, 시각] 2022년 학사학위 전공심화과정 성공사례 및 수기 공모전 안내",김용민,2022.11.16,"한국전문대학교교육협의회와 학사학위전공심화과정운영협의회에서는 학사학위 전공심화과정 발전 및 홍보 사례 발굴 등을 위해
[2022년 학사학위 전공심화과정 성공사례 및 수기 공모전]을 다음과 같이 개최하오니, 
재학생들의 열렬한 참여 바랍니다.

1. 공모명: 2022년 학사학위 전공심화과정 성공사례 및 수기 공모전
2. 공모대상: 학사학위 전공심화과정 재학생 또는 졸업생
3. 공모기간: 2022.11.1.(화) ~ 2022.11.30.(수) 15:00까지
4. 수상자 발표: 2022.12월 중 (※심사 결과에 따라 일정이 변경될 수 있음)
5. 응모방법: <붙임1> 공고문 참조
6. 시상내역
 가. 대상: 한국전문대학교육협의회장상 / 상금 50만원 / 2명
 나. 최우수상: 한국전문대학교육협의회장상 / 상금 30만원 / 3명
 다. 우수상: 한국전문대학교육협의회장상 / 상금 20만원 / 5명
 라. 장려상: 한국전문대학교육협의회장상 / 상금 10만원 / 10명
 ※제세공과금(22%) 본인 부담, 중복 시상 제외
7. 접수처 및 문의: 학사학위전공심화과정운영협의회(회장교:마산대학교)
 -접수처(이메일 접수): jumpup@masan.ac.kr
 -관련 문의: 마산대학교 학사운영팀(055-230-1216), jumpup@masan.ac.kr",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/%EC%88%98%EA%B8%B0%EA%B3%B5%EB%AA%A8%EC%A0%84_%ED%8F%AC%EC%8A%A4%ED%84%B0.jpg,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32112/download.do': '붙임1)2022년 학사학위전공심화과정 수기공모전 개최 공고문.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32113/download.do': '붙임2)2022년 학사학위전공심화과정 수기공모전 신청서 서식.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32114/download.do': '붙임3)2022년 학사학위 전공심화과정 웹포스터(221031).pdf'}]"
503,1296,[학부] 2022년 전문기술인재장학금 일시지원 유형 자체선발 기준,황진하,2022.11.08,"                 2022년 전문기술인재장학금 일시지원 유형 자체선발 기준
 
1. 목 적

□ 취업역량개발 노력이 우수한 학생이 안정적으로 학업 및 자기개발에 정진할 수 있도록 지원하여 전문기술인재로 육성하기 위함
 
2. 개 요

□ 지원대상 : 대한민국 국적 소지 재학생 중 종합적 취업역량개발 노력과 성취가 우수한 학생 ( ※ 세부내용은 3번 항목 ‘추천 자격’ 참조)
□ 선발인원 : 생활환경공학부 신청 인원 중 1명 추천
□ 신청기한 : 2022년 11월 10일(목), 14시까지
□ 신청방법 : 아래 학과 선발 제출 서류를 준비하여 기한 내 e-mail로 제출
    - 접수 담당자 : 황진하 선생님
    - 제출 email : wlsgk961205@dongyang.ac.kr 
    - ☎연락처 : 02)-2610-1801
□ 학부선발 제출 서류 : 평가항목 점수를 증빙할 서류 사본 제출(11월 10일(목) 14시까지)
    ※ 4번 항목 ‘제출 서류 목록‘ 중 2항목 및 [붙임 1]파일 확인
□ 지원내용
구 분
지원금액
배정인원
내용
일시지원
등록금 전액
(생활비 미지원)
1
2022년에 선발된 계속장학생의 휴학, 성적미달, 반환 등으로 발생한 잔여예산을 활용하여 1개 학기를 일시적으로 지원함


3. 추천자격

 1.  우리 대학 전문학사과정 재학생(2,3학년)
     (산업체 위탁생, 학사학위과정, 편입학, 계약학과 제외)
     ※ 해당 학제의 정규학기 범위 내(초과학기 제외)
 2.  직전학기 12학점 이상 이수하고, 직전학기 성적 백분위 점수 80점 이상인 자(원 성적 기준) 
 3.  1개 학기 이상 남은 자
      ※ 다음연도 2월 졸업예정자 추천 가능
 4.  장학금 지원기간 중 학적변동이 없는 자
      ※ 학적변동 : 일반휴학, 질병휴학, 군입대휴학, 자퇴 및 제적
      ※ 지원 학기 성적 이수 전 학적변동 시 지급된 장학금 전액을 반환해야 함

□ 추천 제외자
   • 동일학기에 한국장학재단에서 운영하는 장학금 중 전문기술인재장학금, 중소기업취업연계장학금(희망사다리 1유형), 고졸후학습자장학금 수혜자
   • 법령에 따라 지원받은 교육지원 대상자(보훈대상 및 북한이탈주민)
   • 전문기술인재장학금으로 선발된 이력이 있는 자

□ 유의사항
   • 장학금 전액 지급이 원칙이므로 동일 학기 타 장학금 수혜자 또는 자격 유지자인 경우 수혜 받은 장학금(외부, 교내 등)을 반환해야 함
   • 지원 학기 성적 이수 전 학적변동(휴학 등) 시 지급된 장학금 전액을 반환해야 하므로 자비로 등록금 전액을 납부해야 학적변동이 가능함
 
4. 제출 서류 목록(공통)

□ 재학생(2,3학년)
   1. 장학생 신청 및 추천서(대학 양식) 1부
   2. 평가 실적 증빙 서류 각 1부
   3. 장학금 반환 서약서(공통 대학 양식) 1부 


                                                                                  2022. 11. 8.

                                                                 생 활 환 경 공 학 부",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32072/download.do': '붙임 1. 2022년 전문기술인재장학금 일시지원 유형 장학생 자체선발 기준.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32073/download.do': '붙임 2. 장학생 신청 및 추천서 양식.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/32074/download.do': '붙임 3. 장학금 반환 서약서 양식.hwp'}]"
503,1295,[취업] [건축] (주)신일,김혜림,2022.11.04,"1. 회 사 명 : (주)신일 *남양주덕소 현장*



2. 모집직종 : 품질 및 건축기사



3. 채용인원 : 1명(남자)



4. 채용조건 : 관련 자격증 소지자 우대



5. 급    여 : 4600~4700만원(식대포함)



6. 제출서류 : 이력서, 자기소개서, 졸업증명서


7. 지원방법 : 학과사무실(02-2610-1802) 접수



8. 접수기한 : 채용시까지



9. 주소
- 본사 : 서울특별시 서초구 방배천로 91 구산타워 6층
- 근무현장 : 경기도 남양주시 와부읍 덕소로 106-15 일원



10. 기    타
- 근무일시 : 주5일, 토요일 격주근무, 7:00~17:30
- 식대 현금지급, 상여금 별도
- 신입 계약직 채용(정규직 전환 가능)",,[]
503,1294,[건축] 2023학년도 건축학과 학사학위과정 입학 희망자 대상 간담회 안내,원종규,2022.11.03,"2023학년도 건축학과 학사학위과정(전공심화과정) 입학 희망자를 대상으로 
아래와 같이 간담회를 진행할 예정이오니 지원 희망자의 많은 참여 기대 합니다.
     1. 일시 : 2022년 11월 23일(수), 17시
   2. 장소 : 7호관 402호 (장소는 추후에 변경이 될 수도 있음)
   3. 대상 : 학사학위과정 입학 희망자 (35명 내외)
   4. 참가신청 : 2022년  11월 18일(금)까지 학과사무실에 방문 or 전화(☎ 02-2610-1801) 신청
   5. 간담회 내용
      가. 학사학위과정 입학 전형 안내
      나. 학사학위과정 운영 관련 안내 ",,[{'https://www.dongyang.ac.kr/bbs/dmu_21096/326/32052/download.do': '1. 2023학년도 학사학위전공심화과정 모집요강.pdf'}]
503,1293,[건축] 2022-2학기 중간고사 시행 안내(11/1 수정),황진하,2022.10.17,"2022학년도 2학기 중간고사 시행 안내

2022학년도 2학기 중간고사를 다음과 같이 시행함을 알려드립니다. 


-  다 음  -

  1. 중간고사 시험 일정
     가. 전공 시험기간 : 10/26(수), 10/28(금), 11/1(화) 3일간 ☞ [붙임 1, 붙임 2] 파일 참조
     나. 교양 시험 기간 : 10/27(목), 10/31(월) 2일간 ☞ [붙임 3] 파일 참조
       ＃준비물 : 학생증(신분증), 필기도구(볼펜, 샤프, 지우개 등), 공학용계산기


2. 시험 시 응시자 유의사항
⦁ 시험장에서는 핸드폰과 같은 전자기기의 전원을 Off 할 것.
⦁ 시험 시작 전 신분증, 필기도구를 제외한 모든 소지품을 가방에 넣을 것.
⦁ 부정 행위자는 성적 무효 처리 및 징계 조치함.

     ■ 상벌규칙 제 14조(시험 부정행위에 대한 징계 조치)
       1. 다음 각 호의 1에 해당하는 학생은 해당 교과목의 시험 성적을 무효로 하고 근신 이상의 징계를 한다.
          ⦁타인에게 답안을 보여주거나 보고 쓰는 자
          ⦁구두로 답안을 불러주거나 참고물을 보고 답안을 작성한 자
       2. 다음 각 호의 1에 해당하는 학생은 당해 기간 동안 실시되는 전 교과목의 시험 성적을 무효로 하고 유기정학 이상의 징계를 한다.
          ⦁작성한 답안지를 서로 교환한 자
          ⦁대리시험을 행한 자나 응시케 한 자
          ⦁감독자의 지시에 불응하거나 이를 거부한 자


3. 기 타
   ⦁ 산업체위탁교육생들은 필요 시 재직 중인 산업체에 중간고사 출석 협조 요청에 대한 협조문을 제출하시기 바랍니다. 
       ＃ [붙임 4] 파일 참조
   ⦁ ☎ 문의 : 02-2610-1801 (건축과 학과사무실)
   ⦁ 공적사유로 인한 결시 관련 공지 링크
      ☞ https://www.dongyang.ac.kr/bbs/dongyang/7/120652/artclView.do?layout=unknown


   붙임 1. [2022-2] 講義時間表 (건축과)_중간고사 시간표_[학생]_1017.pdf
          2. [2022-2] 講義時間表 (건축과)_중간고사 시간표_[학생]_1017.jpg
          3. 2022-2학기 중간고사 교양과목 시험감독(확정).Ver.10.17.02.pdf
          4. 2022학년도 2학기 중간고사 출석 협조 요청 협조문.pdf

2022. 11. 1.

생 활 환 경 공 학 부
건    축    과",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/326/31959/download.do': '붙임 1. [2022-2] 講義時間表 (건축과)_중간고사 시간표_[학생]_1017.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/326/31960/download.do': '붙임 2. [2022-2] 講義時間表 (건축과)_중간고사 시간표_[학생]_1017.jpg'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/326/31961/download.do': '붙임 3. 2022-2학기 중간고사 교양과목 시험감독(확정).Ver.10.17.02.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/326/31962/download.do': '붙임 4. 2022학년도 2학기 중간고사 출석 협조 요청 협조문.pdf'}]"
503,1292,"[건축, 시각, 생명] 홍익대(세종) 연계편입학 지원 수요조사 안내 (~10/12)",원종규,2022.09.28,"<홍익대(세종) 연계편입학 지원 수요조사 안내>

'2023학년도 홍익대(세종) 연계편입학 지원 예정인원'을 사전 조사를 실시합니다.
본 조사를 통해 ""홍익대(세종) 건축공학전공(4년제), 디자인컨버전스학부, 바이오화학공학과"" 지원인원을 배정 받을 예정이니
지원 계획이 있는 학생은 반드시 사전신청에 참여하시기 바랍니다.
   1. 신청대상 : 건축과 재학생(3학년), 시각디자인과 재학생(2학년), 생명화학공학과 재학생(2학년)
   2. 신청기간 : 2022년 10월 12일(수) 15:00 까지
   3. 신청장소 : 건축과, 시각디자인과, 생명화학공학과 학과사무실
   4. 신청방법 : 해당 소속 학과사무실로 방문 or 전화연락
               - 건축과 (02-2610-1801)
               - 시각정보디자인과 (02-2610-1962)
               - 생명화학공학과 (02-2610-1812)
 ",,[]
503,1291,[학부] 면접 정장 대여 및 면접비 지원 안내,김혜림,2022.09.27,"1
 서울시 면접 정장 무료 대여 방법(취업날개 서비스)

가. 이용 대상
- 서울시에 거주하고 있는 청년(고교졸업예정자~만39세)
- 주민등록지가 서울인 사람뿐만 아니라 주소지가 고향으로 되어있는 사람도 추가 증빙을 통해 서울에
   거주하고 있는 것이 증명된다면 무료 대여 서비스 이용 가능

나. 제출서류
- 서울에 거주하는 사실을 증명하기 위한 해당 서류 제출
① 주민등록지가 서울인 경우
☞ 주민등록증, 운전면허증, 주민등록등본 중 택 1
② 주민등록지는 서울이 아니지만 서울에 실거주하고 있는 경우
☞ 실거주지를 증명할 수 있는 서류(부동산 계약서, 공공요금 납부고지서, 고시원 또는 기숙사 입주 확인서)
③ 면접 사실 확인자료
☞ 실제 면접을 보는 회사의 면접 확인 서류(회사명, 면접일, 연락처 등이 보이도록 캡처 후 업로드)
☞ 전화로 면접을 통보받았을 경우, 회사 측과 통화한 내역과 입사지원 사실을 확인할 수 있는 자료(서류접수 확인증)를 캡처하여 업로드
※ 한 가지 주의할 점은 반드시 자신의 이름으로 된 서류만 인정

다. 이용 방법
- 서울시 면접 정장 무료 대여 서비스는 서울 일자리 포털(취업 날개 서비스)에서 예약 가능
- 예약 방법 : 서울 일자리 포털 로그인 → 정장 대여업체 방문예약 → 업체 방문 → 치수 확인 후 정장 수령 → 대여기간 내에 반납
  [서울시 면접정장 무료 대여]
https://job.seoul.go.kr/www/add_service/openChothesChest.do?method=selectOpenChothesChest
  [무료대여 업체]
https://whbangu.tistory.com/m/120

2
 경기도 면접 정장 무료 대여 방법(잡아바)

가. 이용 대상
- 경기도에 거주하고 있는 청년
  나. 이용 방법
- 잡아바 홈페이지 → “정장” 검색 후 본인이 거주하는 지역 사업 선택 → 면접 일정 관련 정보 입력 후 신청
- 면접 정장 대여 가능 지역
☞ 이천시, 여주시, 화성시, 시흥시, 파주시, 광주시, 양평군, 하남시, 포천시, 오산시, 동두천시, 양주시, 부천시, 고양시,
    광명시, 안양시, 안성시, 구리시, 평택시, 용인시, 안성시, 수원시, 의왕시, 남양주시, 성남시, 의정부시, 과천시, 김포시
※ 지역마다 신청 방법 대여 품목, 지원 대상이 상이하오니 반드시 확인 후 신청
  [잡아바]
https://www.jobaba.net/main/main.do 



3
2022학년도 면접지원비 지급 프로그램",https://www.dongyang.ac.kr/CrossEditor/binary/images/000011/KakaoTalk_20220926_154235929.png,[]
