major_code,num,title,writer,date,content,img_url,file_url
603,86,[장학] 2022학년도 2학기 교내장학금(후지급) 신청 안내,정현숙,2022.11.16,"2022학년도 2학기 교내장학금(후지급) 신청 안내

□ 신청기간 : 2022.11.16.(수) ~ 12.08.(목)

□ 장학금 종류 : 미래장학금 외 9종류

□ 신청방법 : e서비스 신청 및 증빙서류 학부(과) 제출
               (장학금 신청 안내 등 첨부화일을 반드시 확인하시기 바랍니다.)",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/20221116094133740_Y80ZAO61.png,"[{'https://www.dongyang.ac.kr/bbs/dmu_21008/295/32107/download.do': '[붙임1] 2022학년도 2학기 장학금 신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/32108/download.do': '[붙임2] 장학금 지급 기준 및 증빙 서류.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/32109/download.do': '[붙임3] 2022학년도 2학기 성적향상 계획서.hwp'}]"
603,85,[국제학술교류센터] 2022학년도 동계 해외전공연수 프로그램,정현숙,2022.11.15,"<2022학년도 동계 혁신지원사업 동계 해외 전공연수 공고>
  재학생들의 해외 전공연수 통한 국제화 역량 강화를 위하여 다음과 같이 2022학년도 동계방학 중 해외 전공연수를 다음과 같이 실시하고자 하오니 학생 여러분의 많은 참여 바랍니다.
  - 다 음 -
  1. 신청기간 : 2022년 11월 15일(화) 10:00 ~ 11월 22일(화) 18:00까지
2. 연수기간 : 2022년 01월 02일(월) ∼ 2월 17일(금) 사이(3~4주)
3. 연수국가 및 프로그램
구분
뉴질랜드
연수기관
The University of Auckland
홈페이지
www.auckland.ac.nz
www.psb-academy.edu.sg
연수기간
2023년 1월16일(월) ~ 2월 10일(금) 4주
2023년 
연수분야
글로벌융합엔지니어링
지원가능
학부(과)1)
기계공학부, 전기전자통신공학부, 로봇자동화공학부, 생활환경공학부(건축, 생명화학, 바이오융합)
생활환경공학부
언어
영어
선발방법
신청자 대상 모의 토익시험 실시
신청자 대상 모의 토익시험 실시
선발인원
15
비고
홈스테이
※ 토익유형시험 실시 일정은 차후 신청자들에게 공지 예정
※ 선발인원 : 선발인원 중 외국어능력강화프로그램 이수자는 모의 토익시험에 가산점 부여
※ 상기 일정은 연수기관의 상황 등에 따라 변경될 수 있으며, 교육기간이므로 실제 출국 날짜는 다를 수 있음
※ 1)지원가능전공 : 뉴질랜드는 공학계열의 전공연수로 진행될 예정이며, 싱가포르는 IT, 경영, 디자인 계열의 전공연수로 진행될 예정임
4. 지원자격 : 본교 재학생 (휴학생 제외)
5. 신청방법 : DOIT에서 온라인 신청 ▶ 신청하기  ※ 신청시 본인이 자주 사용하는 e메일을 꼭 써주시기 바랍니다.
6. 추후일정
- 연수생 확정 발표 : 2022년 11월 25일(금) 예정
7. 연수비용 및 기타
- 공통사항 : 교육비, 기숙사(홈스테이)비는 대학에서 지원, 기초생활수급자의 경우 항공료 전액 지원
- 왕복항공료는 개인부담
- 항공권 예약은 원활한 진행을 위해 개별적으로 진행할 수 없으며 학교에서 단체로 예약
8. 문의 : 8호관 101호 국제학술교류센터 02-2610-5163
    2022. 11. 15.
 
국제학술교류센터장",,[]
603,84,[경영학부] 2022-2학기 전문기술인재장학금 장학생 신청 안내,정현숙,2022.11.04,"2022-2학기 우수학생을 전문기술인재로 육성하기 위해 아래의 내용으로 선발하고자 안내하니 참고 바랍니다.

1) 장학금명 : 전문기술인재장학금
2) 대상 : 전문학사 일반과정 2학년 - 첨부파일 참조
3) 서류 제출 : 11/10(목), 10:00까지, 학과별로 담당자에게 원본 제출 - 첨부파일 참조
4) 유의사항
 - 장학금 수혜기간 중 학적변동이 없는 자만 신청 가능
 - 1개 학기 등록금 전액 지원이므로, 동일학기 타장학금 수혜자는 받은 장학금을 반환해야 함
 - 세부 내용은 첨부파일 참조하고, 최종 선발자는 개별 연락 예정
5) 문의 : 학과사무실(대표: 02-2610-1972)",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21008/295/32063/download.do': '(안내 1) 2022년 전문기술인재장학금 일시지원 유형 장학생 자체 선발 안내.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/32064/download.do': '(안내 2) 제출서류 양식.hwp'}]"
603,83,"2022학년도 2학기 중간고사 시간표 및 안내(경영,유통,세무,호텔)",윤세원,2022.10.18,"모바일 환경에서는 첨부파일 확인이 불가능 할 수 있으니, PC로 접속하여주시기 바랍니다.

2022학년도 2학기 중간고사 및 직무수행능력 평가를
다음과 같이 실시합니다.
   - 다 음 -
  1. 중간고사 기간 :   
전공 : 10/26(수), 10/28(금), 11/1(화)
교양 : 10/27(목), 10/31(월) 


2. 시험 평가 시 유의사항 및 대면시험 참여자 준수사항
- 강의실에 핸드폰 등 전자제품 전원을 Off할 것.
- 시작 전 신분증과 필기도구를 제외한 모든 소지품을 가방 안에 정리하여 내려놓을 것.
- 부정행위자는 성적 무효 처리와 함께 징계 조치함.
- 교내에서는 반드시 마스크 착용
- 각 시험장소 출입 시 비치된 손소독제로 손 세정
- 각 시험장소 출입 시 살균 티슈로 본인 책상 및 의자 닦기
- 커피 등 음식물 반입 금지
- 대면시험 종료 후 곧바로 귀가
  ★필수 확인사항★
1. 본인 시간표를 필히 확인하시고, 겹치는 시간이 없는지 직접 체크하셔야 합니다.
2. 시험시간표를 확인하지 않아 생기는 불이익은 학부사무실에서 책임지지 않습니다.
3. 시험기간에는 기존강의시간 및 강의실이 아닌 시험시간 및 시험 강의실대로 움직여야 합니다.
4. 야간수업의 경우 교수님 재량으로 ±5~10분씩 시험시간의 변경이 있을 수 있습니다.
5. 시험시간표가 겹치는 학생의 경우, 학생 본인의 소속학과 담당자에게 문의바랍니다.
6. 학생 본인 확진, 자가격리 대상 등 코로나 관련 사유가 발생하는 경우 소속 학과와 교수님께 연락 주시기 바랍니다.
7. 조기취업자여서 해당 시험 시간에 응시하지 못하는 경우, 소속 학과 담당자에게 문의 바랍니다.
8. 비대면시험은 강의담당 교수님 공지 및 원격수업 확인 부탁드립니다.
★ 교수님 사정으로 인하여 시험시간표가 변동될 수 있으니, 시험 전까지 확인바랍니다.
★ 시험 강의실 좌석배치도는 추후 공지 예정입니다.
★ OCU 과목 수강자는 OCU컨소시엄 홈페이지에서 시험 관련 공지 확인 바랍니다.


    상벌규칙 제14조(시험 부정행위에 대한 징계 조치)
  ① 다음 각 호의 1에 해당하는 학생은 해당교과목의 시험성적을 무효로 하고 근신이상의 징계를 한다.
   1. 타인에게 답안을 보여주거나 보고 쓰는 자
   2. 구두로 답안을 불러주거나 참고물을 보고 답안을 작성한 자
  ② 다음 각 호의 1에 해당하는 학생은 당해 기간 동안 실시되는 전 교과목의 시험 성적을 무효로 하고 유기정학 이상의 징계를 한다.
   1. 작성한 답안지를 서로 교환한 자
   2. 대리시험을 행한 자나 응시케 한 자
   3. 감독자의 지시에 불응하거나 이를 거부한 자
    [시험 시간 변경]
-

      2022학년도 2학기 경영학부 중간고사 시험 시간표를
첨부와 같이 공지합니다.",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31968/download.do': '2022-2학기+중간고사 시간표(학생공지용).xlsx'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31969/download.do': '2022-2학기 호텔관광학과 중간고사 시간표(학생 공지용).pdf'}]"
603,82,DM 취UP Dream Festival 개최,심철우,2022.10.17,"DM 취UP Dream Festival을 아래와 개최합니다.

- 일시 : 2022.11.15.(화) 10시~18시
- 장소 : 6호관 지하 2층 및 3층 로비
- 참여 대상 : 모든 학과 재학생
- 참가업체 : LG이노텍(주), 기아(주), 포포인츠바이쉐라톤, CJ대한통운(주), 
신세계백화점(강남점), 나래에너지서비스(주), ㈜엘오티베큠, 
(유)스태츠칩팩코리아, ㈜원익IPS, (주)유호스트 등
- 내용 : 기업 참여 부스 운영, 학과 졸업생 멘토 부스 운영, 
실천 취업 부스 운영 및 취업 응원 이벤트 부스 운영",,[{'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31949/download.do': 'DM 취UP Dream Festival 개최.jpg'}]
603,81,유통마케팅학과(위) 1학년 MD반 교수 확진에 따른 비대면 수업 진행 공지,윤세원,2022.10.11,"유통마케팅학과 위탁반 1학년 MD반 학생들에게 공지 드립니다.

박수훈 교수님 코로나 확진으로 인하여 
10/11(화) 14교시에 진행 예정인 유통관리 수업은 온라인 콘텐츠 수업으로 변경되었으니
착오 없으시기 바랍니다.

온라인 콘텐츠 자료는 E-class(LMS)에서 확인 바랍니다.
https://eclass.dongyang.ac.kr/login.php",,[]
603,80,2022학년도 면접지원비 지원 안내,심철우,2022.09.26,코로나 19로 인한 학생들의 취업 의욕 고취를 위하여 면접참여에 따른 면접비를 지원하고자 하오니 많은 참여 바랍니다.,https://www.dongyang.ac.kr/CrossEditor/binary/images/000011/20220926160147448_SW0IQ7KO.png,[]
603,79,[경영학부] 2022학년도 2학기 경영학부 사물함 배부자 안내,유호재,2022.09.08,"2022학년도 2학기 경영학부 사물함 배부자 안내

1. 열쇠 배부 안내

1) 주간학생 
 - 2022/09/13(화) 17:00~18:00 (학부사무실) 

2) 산업체위탁생/학사
 - 2022/09/13(화) 18:00~20:00 (학부사무실)

3) 참고사항
 - 보증금(현금 1만원)과 학생증 지참하여 학부사무실에서 배부 받습니다. (학생증이 없는 경우 E서비스 얼굴과 학과 학번 이름 나오게 프린트 / 본인 확인용)


2. 사용기간

2022/09/13(화) ~ 2022/12/20(화/반납일)

※ 반납일을 지키지 않을 경우 추후 사물함 배부 시 불이익이 발생할 수 있으며, 2022/12/27(화)까지 반납되지 않은 사물함 열쇠는 분실 처리되며, 보증금 반환이 불가능합니다.

3. 주의사항

- 기간 외 신청 및 Do it의 주,야간 학생용을 잘못 신청한 경우 무효 처리합니다.
- 사물함 안에 귀중품을 절대 보관하지 말고, 분실 시 본인이 책임을 집니다.
  또한, 비어있는 사물함을 무단으로 사용하는 행위는 엄격히 금지합니다.
- 2022/09/13(화) 20:00까지 열쇠를 수령하지 않을 경우 취소 처리합니다.
- 사물함 이용 시 보증료 10,000원을 예치하고 이용기간 종료 시 열쇠 반환 및 보증금 반환을 진행하며 열쇠 분실 시 보증금 반환이 불가능합니다.
- 이용기간 중 사물함은 타인에게 양도할 수 없습니다.
- 이용자의 부주의로 인한 분실과 훼손에 대하여는 본인이 책임을 져야합니다.
- 어떠한 경우에도 학부사무실에서는 개인사물함을 개폐하지 않으며, 본인의 요청으로 개폐하게 되는 경우 개폐와 동시에 반납처리합니다.(열쇠 분실로 처리)


4. 전문학사(주간) 명단

순번 학과 학번 이름
1 세무회계학과 *****196 강*지
2 유통마케팅학과 *****239 강*규
3 세무회계학과 *****380 강*은
4 세무회계학과 *****965 고*석
5 경영정보학과 *****732 고*정
6 세무회계학과 *****708 곽*은
7 유통마케팅학과 *****377 곽*길
8 경영정보학과 *****433 김*은
9 세무회계학과 *****158 김*환
10 유통마케팅학과 *****236 김*희
11 세무회계학과 *****298 김*서
12 호텔관광학과 *****930 김*협
13 경영정보학과 *****593 김*영
14 세무회계학과 *****198 김*빈
15 호텔관광학과 *****926 김*운
16 세무회계학과 *****311 김*현
17 경영정보학과 *****244 김*빈
18 경영정보학과 *****486 김*빈
19 세무회계학과 *****347 김*은
20 경영정보학과 *****336 김*은
21 세무회계학과 *****292 김*은
22 경영정보학과 *****463 김*희
23 세무회계학과 *****959 김*우
24 유통마케팅학과 *****266 김*유
25 경영정보학과 *****307 김*경
26 세무회계학과 *****283 김*연
27 경영학과 *****068 김*진
28 경영정보학과 *****467 김*선
29 세무회계학과 *****130 문*원
30 세무회계학과 *****301 민*준
31 유통마케팅학과 *****403 박*진
32 경영학과 *****361 박*지
33 세무회계학과 *****310 박*민
34 호텔관광학과 *****316 박*연
35 세무회계학과 *****345 박*예
36 세무회계학과 *****355 백*희
37 세무회계학과 *****295 백*연
38 유통마케팅학과 *****405 서*희
39 세무회계학과 *****963 서*우
40 경영정보학과 *****029 성*철
41 세무회계학과 *****367 성*리
42 경영정보학과 *****727 송*린
43 세무회계학과 *****162 신*선
44 세무회계학과 *****297 안*림
45 세무회계학과 *****807 우*윤
46 경영정보학과 *****438 윤*연
47 경영학과 *****071 윤*미
48 유통마케팅학과 *****229 이*운
49 빅데이터경영과 *****601 이*엽
50 경영학과 *****091 이*영
51 경영정보학과 *****436 이*우
52 세무회계학과 *****814 이*호
53 세무회계학과 *****709 이*호
54 세무회계학과 *****135 이*비
55 세무회계학과 *****932 이*재
56 세무회계학과 *****809 이*안
57 세무회계학과 *****794 이*태
58 호텔관광학과 *****450 이*솔
59 세무회계학과 *****344 임*린
60 경영학과 *****097 임*은
61 호텔관광학과 *****754 임*은
62 세무회계학과 *****165 임*진
63 경영정보학과 *****311 장*진
64 호텔관광학과 *****313 정*민
65 경영정보학과 *****734 정*영
66 빅데이터경영과 *****695 조*성
67 세무회계학과 *****129 주*선
68 세무회계학과 *****712 진*슬
69 세무회계학과 *****796 최*용
70 세무회계학과 *****962 최*철
71 세무회계학과 *****286 최*영
72 빅데이터경영과 *****604 최*빈
73 세무회계학과 *****372 최*레
74 경영정보학과 *****102 최*준
75 경영학과 *****289 추*민
76 호텔관광학과 *****128 한*지
77 호텔관광학과 *****336 한*아
78 호텔관광학과 *****486 함*민
79 세무회계학과 *****336 허*영
80 유통마케팅학과 *****214 홍*진
81 세무회계학과 *****823 홍*명
82 세무회계학과 *****430 황*빈
83 세무회계학과 *****308 황*진




5. 산업체위탁/학사학위(야간) 명단

순번 학과 학번 이름
1 세무회계학과(위) *****350 이*정
2 세무회계학과(위) *****180 김*진
3 유통마케팅학과(위) *****861 박*은
4 세무회계학과(위) *****179 박*현
5 세무회계학과 *****298 김*서
6 (학)경영학과 *****668 전*숙
7 세무회계학과(위) *****360 고*",,[]
603,78,[경영학부] 2022학년도 2학기 경영학부 사물함 배부 안내,유호재,2022.09.02,"2022학년도 2학기 경영학부 사물함 배부 안내


1. 신청기간
  - 2022/9/6(화) 10:00 ~ 2022/9/7(수) 23:00 

2. 접수방법
  - 주간학생 :  Do it의 커뮤니티 -> 취업교육프로그램 -> (주간학생용) 2022학년도 2학기 경영학부 사물함 신청
  - 야간학생 :  Do it의 커뮤니티 -> 취업교육프로그램 -> (야간학생용) 2022학년도 2학기 경영학부 사물함 신청

3. 사물함 대상자 공지
  - 2022/9/8(목) 16:00 학부 공지사항 게시

4. 열쇠배부 및 열쇠반환
  - 열쇠배부 : 2022/9/13(화) 17:00~18:00  / 보증금(10,000원) 및 (본인 사진이 포함된)학생증 지참하여 학부사무실 방문
  - 열쇠반환 : 2022/12/20(화) 17:00~18:00  / 사물함 열쇠 지참하여 학부사무실 방문
  ※ 열쇠 반환 기한을 지키지 않을 경우 이후 사물함 배부에 불이익이 발생할 수 있으며, 반환일로부터 1주일이 지날 경우 열쇠는 분실처리됩니다.

5. 이용기간
  - 2022/09/13(화) ~ 2022/12/20(화)

주의사항
- 기간 외 신청 및 Do it의 주,야간 학생용을 잘못 신청한 경우 무효 처리합니다.
- 사물함 안에 귀중품을 절대 보관하지 말고, 분실 시 본인이 책임을 집니다.
  또한, 비어있는 사물함을 무단으로 사용하는 행위는 엄격히 금지합니다.
- 2022/09/13(화) 20:00까지 열쇠를 수령하지 않을 경우 취소 처리합니다.
- 사물함 이용 시 보증료 10,000원을 예치하고 이용기간 종료 시 열쇠 반환 및 보증금 반환을 진행하며 열쇠 분실 시 보증금 반환이 불가능합니다.
- 이용기간 중 사물함은 타인에게 양도할 수 없습니다.
- 이용자의 부주의로 인한 분실과 훼손에 대하여는 본인이 책임을 져야합니다.
- 어떠한 경우에도 학부사무실에서는 개인사물함을 개폐하지 않으며, 본인의 요청으로 개폐하게 되는 경우 개폐와 동시에 반납처리합니다.(열쇠 분실로 처리)

문의

☎ 02)2610-5133 경영학부 유호재",,[]
603,77,"2022학년도 2학기 시간표 및 수강신청 안내(경영,유통,세무,경정,빅데)",윤세원,2022.08.05,"※모바일 화면에서는 첨부파일이 정상적으로 표시되지 않을 수 있으니 PC접속을 권장드립니다.


2022학년도 2학기 경영학부 시간표를 다음과 같이 공지합니다.
  본인 학과 시간표의 과목 명과 강의실을 반드시 확인하여 주시길 바라며,
  시간표는 수시로 바뀔 수 있으니 수강신청 기간 전까지 수시로 확인하여 주시기 바랍니다.
  본인 미확인으로 인한 불이익은 책임지지 않습니다.
  - 다   음 -
◈ 수강신청기간 ◈
  ○ 2학년 : 2022. 08.16(화) 12:30 ~ 08.17(수) 22:00

○ 1학년, 학사학위과정 : 2022.08.18(목) 12:30 ~ 08.19(금) 22:00

○ 수강신청 정정기간 : 전체 학년 2022.09.06(화) 09:00 ~ 09.07(수) 18:00

○ 타수강 신청기간 : 8/16(화) 12:30 ~ 8/19(금) 18:00 (학부사무실로 신청서 제출)


★ 타수강 신청 시 주의사항 

① 소속학과에서 타학과 수강 교과목의 이수구분 판단

② 학기당 6학점 이내, 최대 18학점(3년제 30학점) 이내 수강 가능

③ 졸업 직전학기(2학년 2학기, 3학년 2학기)에 소속학과 교과목을 모두 수강하여도 졸업불가인 경우에는 최대 6학점까지 초과신청 가능

④ 타학과 수강신청 시 접수 우선순위에 따라 우선 접수함
(-> 편의 등의 개인 사유로 신청 시 반려될 수 있음)

⑤ 경영/유통/세무회계과 타수강 신청은 대면 접수 입니다. 학부 사무실로 방문하여 주세요.(2호관 303호)


★ 2022-1학기 타수강신청 불가 과목

- 경영, 유통 : 학과 사무실 문의

- 세무회계 : 학과 사무실 문의 

- 경영정보, 빅데이터 : 학과 사무실 문의


자세한 수강신청과 타수강신청 안내는 [붙임1] 파일을 참고해 주세요.


◈ 학과 별 안내 ◈

- 경영학과/유통마케팅학과/세무회계학과

★ - 1학년 교양필수 : [진로설계와실천인성] 1학년 2학기 교양 필수 과목입니다. 시간표 내에 강좌번호 참고하여 신청바랍니다.
   - 모든 학년 진로지도 시간은 수강 신청을 하지 않아도 자동으로 등록 되어있습니다. 
     진로지도 시간은 학점으로 인정되는 과목이 아닌, 교수님과의 면담시간입니다. 각 반 지도 교수님이 별도 소집 시에만 참석하시기 바랍니다.
   - 문의 사항은 02-2610-1994 로 연락바랍니다.
   ※ 졸업보류 학생, 전과 학생은 반드시 소속 학과에서 수강신청 지도를 받은 후 수강신청 하시기 바랍니다.

  ◈ 학과별 시간표 변동내역 ◈ (변동내역을 학기중 계속해서 업데이트할 예정입니다. 첨부된 시간표를 수시로 확인 바랍니다.) 


- 경영학과 
▶ R0반 글로벌ERP실습 폐강


- 경영학과(학)
  - 유통마케팅학과

- 유통마케팅학과(위) 
1학년(MD)  
▶ 경영문서작성실무(조인숙) 금요일 11~14교시 → 목요일 11~14교시
▶ 글로벌시장과 비즈니스이해(OCU) 목요일 12~14교시 → 금요일 12~14교시

- 세무회계학과
  - 경영정보학과

- 빅데이터경영과


◈ 기타 안내 ◈
  강의매매 금지 : 수강신청 기간 중 수강과목을 사고 파는 행위는 아래 학칙에 의거하여 징계 대상에 해당합니다.
따라서, 대학 홈페이지 자유게시판 또는 앱 등을 통해 강의매매를 시도한 사항이 적발되는 경우 징계처리할 예정이므로 학생 여러분의 주의 바랍니다.
 

☎ 문의 ☎
  *경영·유통마케팅학과 담당자 : 윤세원 (02-2610-1994), sewon@dongyang.ac.kr
  *세무회계·경영정보·빅데이터과 담당자 : 심철우 (02-2610-1986)
  *관광컨벤션학과 담당자 : 정현숙 (02-2610-5215)
  *전공심화과정(학사) 담당자 : 윤세원 (02-2610-1994), sewon@dongyang.ac.kr",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31359/download.do': '2022학년도 타전공 수강신청서(양식).hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31360/download.do': '[붙임 1] 2022학년도 2학기 수강신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31361/download.do': '[붙임 2] OCU 교과목 수강신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31362/download.do': '[붙임 3] OCU 교과목 수업계획서(강의계획서).zip'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31363/download.do': '[붙임 4] 수강신청 방법 및 시스템 사용 정보 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21008/295/31610/download.do': '2022-2학기 경영학부 강의시간표.xlsx'}]"
