major_code,num,title,writer,date,content,img_url,file_url
303,75,[학부] 2023학년도 컴퓨터공학부 학과대표 입후보자 선거 안내,이재천,2022.11.17,"2023학년도 컴퓨터공학부 학과대표 입후보자 선거 안내입니다.
아래 투표기간에 후보자에게 소중한 한표 행사해주시기 바랍니다.

1. 선거기간 : 11월 21일(월) ~ 11월 23일(수) 20:00
2. 투표방법 : 온라인 투표(투표 당일 링크 안내)
3. 학과대표 공약 포스터",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/20221117151857825_4TL0VYDV.png,[]
303,74,2022학년도 2학기 교내장학금(후지급) 신청 안내,이재천,2022.11.15,"2022학년도 2학기 교내장학금(후지급) 신청을 아래와 같이 안내하오니 대상 학생들은
기한 내 신청하시기 바랍니다.
  1. 장학금종류 : 미래장학금 외 9종류 (첨부파일 참조)
2. 신청 및 서류 제출 기한 : 2022. 11. 16.(수) ~ 12.08.(목) 
3. 신청방법
 가. 학교 홈페이지 'e서비스'에서 온라인 신청 후 제출서류는 학부사무실에 제출
 나. 컴퓨터공학부 학부사무실 : 3호관 208호
4. 주의사항
 가. 신청학생은 자격 조건을 필히 확인 후 조건에 맞는 장학금을 신청하기 바랍니다.
 나. 증빙서류 미제출시 자격 확인이 불가하니 반드시 제출하기 바랍니다.

첨부파일  1. [붙임1] 2022학년도 2학기 장학금 신청 안내 1부.
             2. [붙임2] 장학금 지급 기준 및 증빙 서류1부.
             3. [붙임3] 2022학년도 2학기 성적향상 계획서 1부.  끝. ",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/32097/download.do': '[붙임1] 2022학년도 2학기 장학금 신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/32098/download.do': '[붙임2] 장학금 지급 기준 및 증빙 서류.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/32099/download.do': '[붙임3] 2022학년도 2학기 성적향상 계획서.hwp'}]"
303,73,[학부] 2022년도 AI 기술 작품 신규 작품개발 공모전 신청 안내,이재천,2022.11.10,"전공 진로에 대한 학생들의 학습 동기를 유발시키고 심화학습 기회를 제공하고자
우수 2개팀을 AI PD Lab으로 선정하여 지원하오니 관심 있는 학생들의 많은 참여 바랍니다.
  1. 공모전명 : 2022년도 AI 기술 작품 신규 작품개발 공모전
2. 공모 주제 : AI 기술 신규 작품개발
3. 참가 대상 : 신산업분야 특화 선도전문대학 지원사업 주관학과(인공지능소프트웨어학과) 및 연관학과(컴퓨터소프트웨어공학과, 컴퓨터정보공학과) 소속 PD Lab
4. 공모 기간 : 2022.11.11.(금)~ 11.25.(금)
5. 수상 규모 : 2개팀 선정 지원(작품 제작비, 산업체 멘토링)
6. 응모 방법 : 전자메일을 통한 온라인 접수
- 제출 자료 : 신규 작품 개발 계획서
- 제출처 : 신산업사업단 담당자 메일(yjsong@dongyang.ac.kr)
7. 주최 : 교육부, 한국연구재단
 ※ 주관 : 동양미래대학교 신산업사업단
8. 자세한 사항은 첨부파일 참조",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/32083/download.do': '2022학년도 AI 기술 신규 작품개발 공모전 개최 안내 및 계획서 양식.hwp'}]
303,72,"2022학년도 컴퓨터공학부 졸업예정자 취업프로그램(면접특강, 모의면접) 일정 안내",이재천,2022.11.07,"2022학년도 컴퓨터공학부 졸업예정자 취업프로그램(면접특강, 모의면접) 안내입니다.
일정에 참고하시기 바랍니다.",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/20221117180106455_F4HB0GDS.png,[]
303,71,2022 AWS DeepRacer를 활용한 자율주행차 구현 단기직무과정,오준영,2022.10.21,"[ AWS DeepRacer를 활용한 자율주행차 구현 단기직무과정 안내 ]

1. 대상 : 취업준비생, 클라우드와 인공지능에 관심이 있는 개발자 및 재학생

2. 접수 : 2022.10.18.(화) ~ 2022.11.04.(금) 

3. 일정 : 2022.11.15(화) ~ 2022.11.24(목) (매주 화, 수, 목 19:00 ~ 22:00, 총 18시간)

4. 신청 :  https://forms.gle/yK2kFNwAEyDX1sYd6

5. 교육장소 : 3호관 215호

6. 문의 : 마이스터대 사업단(6호관 109호)
- Email : ykim21@dongyang.ac.kr
- Tel : 02-2610-5175 ",https://www.dongyang.ac.kr/CrossEditor/binary/images/000012/2022%EB%8B%A8%EA%B8%B0%EC%A7%81%EB%AC%B4%ED%8F%AC%EC%8A%A4%ED%84%B0%EC%9A%A9_%EC%BB%B4%EC%86%8C%EB%B2%84%EC%A0%BC2_1.jpg,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/32004/download.do': '2022 AWS DeepRacer를 활용한 자율주행차 구현 모집 포스터.jpg'}]
303,70,[인공] 2022학년도 2학기 인공지능소프트웨어학과 중간고사 시간표 안내(10/14),황창현,2022.10.14,"* 등교 시 반드시 마스크를 착용해야만 교내 출입이 가능합니다. 
* 시험 기간에 마스크가 훼손된 학생은 학부사무실(3호관 208호)에 방문하시면 마스크를 드립니다.
  1. 중간고사 기간
   가. 전공 : 2022.10.26.(수), 10.28.(금), 11.01.(화)
   나. 교양 : 2022.10.27.(목), 10.31.(월)
    2. 시험시간표
  가. 전공과목 시험시간표 : 첨부파일 참조
    - 시험일정 변경 시 재 안내하오니 시험당일까지 확인하여 착오없으시길 바랍니다
     - 시험 시간표의 과목 별 강좌번호를 확인하여 다른 강좌 시험을 보지 않도록 참고 바랍니다.
     (본인이 듣는 수업의 강좌번호는 E서비스 > 수업과성적 > 수강신청내역조회에서 확인 가능)
나. 교양과목 시험시간표 : 대학홈페이지 > 동양광장 > 대학공지 참조
    3. 수험생 유의사항
 가. 시험 고사실에서는 핸드폰 등 전자제품의 전원을 반드시 꺼야 합니다.
 나. 시험 시작 전 신분증과 필기도구를 제외한 모든 소지품은 가방 안에 정리한 후 가방을 책상아래에
      내려 놓아야 합니다.
 다. 수험생은 감독교수에게 학생증 또는 신분증을 반드시 제시해야 합니다.
 라. 시험 시작 후 10분이 경과하면 입실이 금지됩니다.
 마. 코로나19감염증 예방을 위한 방역수칙 준수
   1) 마스크 착용
   2) 입실 전 손 소독제 사용
   3) 책상, 의자, PC 등 손이 닿는 부분은 소독 티슈로 닦은 후 사용
   4) 교내 상주 시간을 줄이기 위해 가능한 시험 시작 시간에 맞춰 등교
   5) 본인 시험 종료 후 즉시 귀가
   ※손 소독제와 소독 티슈는 각 강의실 출입문 밖에 비치 예정
    컴퓨터공학부

문의 : 02-2610-1844, 3호관 208호",,[{'https://www.dongyang.ac.kr/bbs/dmu_21095/322/31914/download.do': '2022-2 인공지능소프트웨어학과 중간고사 시간표 (10.14).pdf'}]
303,69,[학부] SQL이해와 활용 전공특강 신청 안내_11/08(화) ~11(금),오준영,2022.10.12,"       [전공특강] SQL이해와 활용 신청 안내

1. 신청대상 : 컴퓨터공학부 재학생
2. 특강기간 : 2022. 11. 08(화) ~ 11(금). 18:00 ~ 22:00, (4일 16시간)
3. 신청기간 : 2022. 10. 21(금)까지
4. 신청방법(온라인 신청)

  - 취업정보시스템(https://doit.dongyang.ac.kr) > 커뮤니티 > 취업교육프로그램 > SQL이해와 활용 전공특강 신청
  - 첨부파일(특강 서약서) 작성하여 파일 첨부 후 신청

5. 장소 : 3호관 전산실습실 (추후 안내 예정)
6. 강의교수 : 김희숙(교내) , 박찬권(교외)
7. 교재명 : SQL전문가 가이드
   * 교재 무료(특강 첫날 서약서 확인 후 배부)
8. 유의사항
 - 특강 기간 결석 없이 참석하여 수료 가능한 학생 만 신청하기 바람
 - 미수료(1회 이상 결석)일 경우 이후 진행되는 모든 특강에 신청 불가함(명단 확인)",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/31899/download.do': '[전공 능력 교육특강] 2022학년도 SQL이해와 활용 교육 운영 계획(안).hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/31900/download.do': 'sql이해와 활용 특강 서약서.hwp'}]"
303,68,[학부] 2022-2학기 공휴일 보강 안내,오준영,2022.09.27,"[2022-2학기 공휴일 보강 일정 안내]

2022-2학기 공휴일 보강 안내 드리오니 참고하여 수업에 지장 없으시기 바랍니다. 


---------------------------------------------------------------------------------------------------

※ 10/4, 10/13 (월) 대체공휴일 보강 방식 안내

- 9월 12일(월) 추석 연휴 > 대체보강일[10/04(화)] 보강 실시

- 10월 3일(월) 개천절 > 대체보강일[10/13(목)] 보강 실시


수업 방식은 하단 표 확인하여 담당 교수님께 확인하시기 바랍니다.



> 컴퓨터소프트웨어공학과

교과목명 강좌번호 담당교수 보강방식선택
데이터베이스관리 YB 김희숙 대면
자료구조 YC/YD 이수경 비대면
IOT프로그래밍 YC 김훈기 대면
소켓프로그래밍 YA/YB 한용수 비대면
시스템프로그래밍 YB 주도형 대면
웹프로젝트실습 YD 장용미 대면
소프트웨어공학 YB 김재형 대면
전공영어 YC 전상준 비대면
취업과 창업 YA/YB 김희진 대면
소프트웨어개발프로젝트 YJ/YK 이현숙,
박홍규 대면



> 컴퓨터정보공학과

교과목명 강좌번호 담당교수 보강방식선택
SQL활용 PC 최진 비대면
객체지향프로그래밍 PB 박은경 대면
컴퓨터네트워크 PA 권춘우 대면
네트워크프로그래밍 PB/PH 조강홍,
최성연 비대면
인공지능응용프로그래밍 PE 권범 비대면
C프로그래밍 PH 이동규 비대면




> 인공지능소프트웨어학과

교과목명 강좌번호 담당교수 보강방식선택
오픈소스소프트웨어 QC 강환수 대면
자바프로그래밍 QA 박규태 비대면





●  문의

- 컴퓨터소프트웨어공학과 : 02-2610-1843/ ojy5600@dongyang.ac.kr

- 컴퓨터정보공학과 : 02-2610-1842/ ojy5600@dongyang.ac.kr

- 인공지능소프트웨어학과 : 02-2610-1844/ changhyeonh@dongyang.ac.kr




           - 컴퓨터공학부 -",https://www.dongyang.ac.kr/CrossEditor/binary/images/000011/20220928093748935_5IG7I5JV.png,[]
303,67,[학부] 2022학년도 졸업작품집 팀별 브로셔 제출 안내_9/30(금)까지,이재천,2022.09.21,"[2022학년도 졸업작품집 팀별 브로셔 제출 안내]

2022학년도 컴퓨터공학부 작품집 제작을 위하여 팀별 브로셔 제출 안내 드립니다.

아래 브로셔 작성 방법을 참고하여 반드시 안내된 내용으로 작성하여 제출 바랍니다.

1. 제출기한 : 2022. 9. 30(금)
  2. 브로셔 작성 방법(필수사항)

  가. 브로셔는 반드시 2페이지로 작성
  나. 개인사진 및 작품 이미지는 해상도 300dpi 이상
  다. 띄어쓰기 및 맞춤법, 오탈자 없도록 확인
  라. 제출파일명 : 2022 졸업작품집_학과명_반_팀명(예. 2022 졸업작품집_컴소_A_OOO)
  마. 첨부한 샘플 파일 참고하여 브로셔 구성 항목 전체 작성

3. 제출 방법 : 반별 반대표가 수합하여 이메일 제출

4. 제출 파일 : 팀별 브로셔 파일  및 졸업작품집 반별 브로셔 명단(첨부파일)

5. 문의 

  가. 컴퓨터정보공학과 : 02-2610-1842/ jclee@dongyang.ac.kr
  나. 컴퓨터소프트웨어공학과 : 02-2610-1843/ ojy5600@dongyang.ac.kr

                             - 컴퓨터공학부 -",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21095/294/31817/download.do': '2022 졸업작품집 브로셔_학과명_반_팀명(샘플).hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21095/294/31818/download.do': '졸업작품집 반별 브로셔 명단.xlsx'}]"
303,66,[학부] 2022 동양미래EXPO(제40회 졸업작품전시회) 개최 및 무료 사전 등록 안내,이재천,2022.09.21,"2022 동양미래EXPO(제40회 졸업작품전시회) 개최 안내


1. 2022 동양미래EXPO(제40회 졸업작품전시회)
  가. 전시기간 : 2022. 10. 4.(화) ~ 10. 7.(금) 4일간
  나. 전시장소 : 코엑스 Hall A
  다. 출품팀(총 15개 PD Lab)
    - A+~F, 메카니카, MCA, MoAS, SMART, UR, 지능형로봇, 누리나래, 
      작품연구회, CAN, 다솜, MIT, MARS, 까르페디엠, NUKE

2. 자체 개막식 행사
  가. 일시 : 2022. 10. 4.(화) 13:30
  나. 장소 : 코엑스 Hall A 內 동양미래대학교 부스
  다. 내용 : 테이프 커팅식 및 작품 발표
   ※ 전시회 개최 장소 및 주변이 혼잡하므로 대중교통 이용을 권장드립니다.

3. 전시장 무료 입장 사전 등록

http://www.kes.org/kor/visit/regist.asp
   ※ 전시장 입장 및 관람 관련 문의 : 산학협력지원팀(02-2610-1923)",,[]
