major_code,num,title,writer,date,content,img_url,file_url
1,3799,2022년 상반기 익산시 대학생 학자금 대출 이자지원 신청 안내,박은정,2022.11.17,"□ 지원대상 : 공고일(’22.11.15.) 현재 익산시에 주민등록이 되어있는 전국 대학(원)생(재학생·휴학생)
※ 전국 어느 대학에 다니든지 모두 지원 가능(졸업생 제외)
□ 지원내용 : 2017년 1월 1일부터 한국장학재단에서 대출받은 학자금(등록금)의 ‘22년 상반기(2022. 1. 1. ~ 6. 30일까지) 발생 이자 지원
○ 학자금(등록금) : 일반상환 및 취업 후 상환 학자금 ※생활비 제외
□ 지원우선순위(2022년 예산 범위 내 지원)
○ 1순위 - 기초생활수급자 및 차상위계층
○ 2순위 - 한국장학재단 학자금 지원구간이 낮은 단계 순
□ 지원방법 : 한국장학재단을 통한 대출 이자 지원 (12월 말 지급 예정)
※ 한국장학재단 대출 완제자는 개인 계좌 입금
□ 신청접수 : 2022. 11. 15.(화) 09:00 ～ 11. 30.(수) 18:00
□ 신청방법 : 온라인 신청(익산시청 홈페이지 http://www.iksan.go.kr)
(시 홈페이지→자주찾는서비스→ 통합예약 → 인터넷접수 → 대학생 학자금 이자지원)
○ 첨부서류(2022. 11. 15. 이후 발급분)
① 주민등록초본(최근3년 주소변동사항, 발생일 및 신고일자 포함) 1부
② 재학증명서(휴학생은 휴학증명서) 1부

□ 관련문의 : 익산시 교육청소년과(☎063-859-5820, 5159)",,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32120/download.do': '[홍보 안내문] 2022년 상반기 익산시 대학생 학자금 대출 이자지원 신청.hwp'}]
1,3798,[학생상담센터] 자살예방 생명지킴이 교육 신청 안내,박정란,2022.11.17,"동양미래대학교 학생상담센터와 구로구 정신건강복지센터가 함께하는 
자살예방 생명지킴이 ‘생명지기’ 교육 신청 안내


*자살예방 생명지킴이 ‘생명지기’란?
자살 위험에 처한 주변 사람의 위험 신호를 인식하여 
적절한 위기 상담 및 도움을 받을 수 있도록
전문 기관에 연계하여 자살예방과 생명존중을 실천하는 사람


1. 프로그램 : 2022학년도 자살예방 생명지킴이 교육

2.  참여대상 : 재학생 누구나 

3. 교육일시 : 2022.12.01.(목) 오후5시~6시 (1시간)

4. 진행방법 : Zoom 온라인 화상

5. 신청방법
① 신청 접수 : 2022.11.17.(목) ~ 11.30.(수)
② 아래 링크 접속하여 신청서 제출해주세요.
https://docs.google.com/forms/d/e/1FAIpQLSf5gDIoGnmkosdl8w0AMXRZQBAR-I68hMBNC5CaPwM5VEATeQ/viewform?usp=sf_link
③Zoom 링크 문자 발송: 2022.12.01.(월)

6. 수료증 배부
① 기간 : 2022.12.08. ~12.20.
② 장소 : 학생상담센터 (3호관 107호) 

7. 생명지킴이 특전
★ 생명지킴이 수료증 발급(구로구정신건강복지센터)
★ 마일리지 장학금 점수 총15점 부여
   : 학생상담센터 프로그램 참여 (5점)/교내 봉사프로그램 참여 (10점)

8. 교육주최 : 동양미래대학교 학생상담센터 & 구로구 정신건강복지센터

*문 의 : 학생상담센터(3호관 107호)
▪메일: jrpark@dongyang.ac.kr
▪전화: 02-2610-1710",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/%ED%8F%AC%EC%8A%A4%ED%84%B0.png,[]
1,3797,2022년 2학기 한국선원복지고용센터 선원가족 장학생 추가선발 안내,최승우,2022.11.16,"2022년 2학기 한국선원복지고용센터 선원가족 장학생 추가선발 안내

□ 선발대상
 : 선원법 제3조 적용선박에 승선 및 하선한 선원 및 그 가족 중 고등학교 혹은 대학생
 : 총 경력 3년 이상으로 하선 후 1년 이내
 : 대학생 직전학기 성적이 평점 2.0 이상

□ 신청기간 : 11월 16일 ~ 12월 5일

□ 제출서류 : 붙임 참조

□ 접수방법 : 방문 및 우편 접수(전화 051-996-3649)

□ 기타 자세한 사항은 첨부화일 참조",,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32119/download.do': '2022년도 선원가족 장학생 추가 선발 요강.hwp'}]
1,3796,"(선관위) 2023학년도 총학생회장, 총학생회부회장, 학과대표 입후보자 공고",백종훈,2022.11.16,"2023학년도 학생대표 입후보자 공고
  1. 총학생회장 및 총학생회부회장 입후보자
구 분
학 과
성 명
기호번호
총학생회 회장
자동화공학과
박알찬
기호1번
총학생회 부회장
컴퓨터소프트웨어공학과
양나영
  2. 학과대표 입후보자
학 과
기호번호
성명
학 과
기호번호
성명
기계공학과
기호1번
최현준
건축과
기호1번
정우택
기계설계공학과
기호1번
김이현
실내건축디자인과
기호1번
이승하
로봇공학과
기호1번
박상진
생명화학공학과
기호1번
배정민
자동화공학과
기호1번
김준희
바이오융합공학과
기호 1번
박찬민
기호2번
이수빈
전기공학과
기호1번
서혜리
시각디자인학과
기호1번
김현수
기호2번
김동현
정보전자공학과
기호1번
장세은
경영학과
기호1번
김대승
정보통신공학과
기호1번
안주현
세무회계학과
기호1번
박수연
반도체전자공학과
기호1번
윤지민
유통마케팅학과
기호1번
임자규
컴퓨터소프트웨어공학과
기호1번
이세진
호텔관광학과
기호1번
이윤아
컴퓨터정보공학과
기호1번
최혜림
경영정보학과
기호1번
김재우
인공지능소프트웨어학과
기호1번
정우준
빅데이터경영과
기호1번
이상엽
    2022년 11월 21일(월) ~ 11월 23일(수) 에 학우 여러분들의 소중한 한표를 행사해 주시기 바랍니다.
  2022년 11월 14일

선거관리위원회 정·부회장",,[]
1,3795,2022학년도 2학기 교내장학금(후지급) 신청 안내,최승우,2022.11.16,"2022학년도 2학기 교내장학금(후지급) 신청 안내

□ 신청기간 : 2022.11.16.(수) ~ 12.08.(목)

□ 장학금 종류 : 미래장학금 외 9종류

□ 신청방법 : e서비스 신청 및 증빙서류 학부(과) 제출
               (장학금 신청 안내 등 첨부화일을 반드시 확인하시기 바랍니다.)

(시각장애인용그림 설명)

2022학년도 2학기 교내장학금 신청안내

1. 신청기간 : 2022.11.16.(수) ~ 12.08.(목) 2. 신청방법 : e서비스에서 온라인 신청 3. 신청장학금 종류 가.미래장학금 1) 한부모가정, 경제적 사정 곤란자 2) 직전학기 성적기준 : 2.0 이상 3) 장학금액 : 학자금지원구간별 차등지급 나. 전공심화과정장학금 1) 이미 감면받은 경우 신청대상 아님 2) 직전학기 성적기준 : 2.5 이상 3) 장학금액 : 수업료의 30% 지급 다. 성적향상 장학금 1) 신청 기간 내에 신청 -> 성적확정 후 지급 2) 성적기준 : 2.0 이하 -> 3.5 이상 3) 장학금액 : 1,000,000원 라. 한가족 장학금 1) 부모/형제/자매 중 2명 이상 재학중 2) 직전학기 성적기준 : 2.0 이상 3) 장학금액 : 수업료의 30% 지급 마. 디딤돌장학금 및 다문화장학금 1) 증빙 서류 필수 확인 2) 직전학기 성적기준 : 2.0 이상 3) 장학금액 : 1,500,000원 바. 기관재직자장학금 및 협약장학금 1) 대상자 여부 필수 확인 2) 직전학기 성적기준 : 2.0 이상 3) 장학금액 : 수업료의 30% 지급 사. 보훈장학금 1) 국가유공자 본인은 성적기준 미적용 2) 직전학기 성적기준 : 70점 이상 3) 장학금액 : 수업료의 100% 지급 아. 동직자 장학금 1) 미래 장학금 등 타 장학금 먼저 지급함 2) 직전학기 성적기준 : 2.0 이상 3) 장학금액 : 수업료의 100% 지급 ※ 상세한 사항은 공지사항을 참고하여 주시기 바랍니다. 동양미래대학교 학생지원팀 02-2610-1712",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/20221116094133740_Y80ZAO61.png,"[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32104/download.do': '[붙임1] 2022학년도 2학기 장학금 신청 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32105/download.do': '[붙임2] 장학금 지급 기준 및 증빙 서류.hwp'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32106/download.do': '[붙임3] 2022학년도 2학기 성적향상 계획서.hwp'}]"
1,3794,2022년 데이터분석준전문가(ADsP) 자격증 취득 프로그램 수강생 모집,정원석,2022.11.15,"HiVE센터에서 2022년 데이터분석준전문가(ADsP) 자격증 취득 프로그램 수강생을 모집합니다. 많은 관심과 참여 부탁드립니다.
   
■ 모집대상 : 구로구 지역주민 및 동양미래대학교 재학생 (※ 다른 지역주민 신청 가능)
    ■ 모집기간 : 2022년 11월 15일 (화) ~ 11월 21일 (월)
    ■ 수강료 : 무료   ※ 교재비는 수강생 본인 부담
    ■ 모집결과 : 2022년 11월 21일(월) 이후 모집결과 개별 통보
    ■ 접수방법
    1. 온라인 신청 : 수강신청 바로가기
    2. 전화 신청 : 02-2610-1873 / 02-2610-1829
    ■ 문의 : 동양미래대학교 HiVE센터 02-2610-1873 / 02-2610-1829
     
＊ 모집인원에 따라 조기 마감 또는 폐강될 수 있습니다.",https://www.dongyang.ac.kr/CrossEditor/binary/images/000013/ADsP_%EC%9E%90%EA%B2%A9%EC%A6%9D_%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8_%EC%88%98%EA%B0%95%EC%83%9D_%EB%AA%A8%EC%A7%91_%ED%8F%AC%EC%8A%A4%ED%84%B0_(%EA%B2%8C%EC%8B%9C%EC%9A%A9).jpg,[]
1,3793,[국제학술교류센터] 2022학년도 동계 해외전공연수 프로그램(수정),정상원,2022.11.15,"<2022학년도 동계 혁신지원사업 동계 해외 전공연수 공고>
  재학생들의 해외 전공연수 통한 국제화 역량 강화를 위하여 다음과 같이 2022학년도 동계방학 중 해외 전공연수를 다음과 같이 실시하고자 하오니 학생 여러분의 많은 참여 바랍니다.
  - 다 음 -
  1. 신청기간 : 2022년 11월 15일(화) 10:00 ~ 11월 22일(화) 18:00 까지
3. 연수국가 및 프로그램
구분
뉴질랜드
싱가포르
연수기관
The University of Auckland
PSB Academy
홈페이지
www.auckland.ac.nz
www.psb-academy.edu.sg
연수기간
2023년 1월16일(월) ~ 2월 10일(금) 4주
2023년 1월 2일(월) ~ 1월 21일(토) 3주
연수분야
글로벌융합엔지니어링
IT비즈니스 및 디자인
지원가능
학부(과)1)
기계공학부, 전기전자통신공학부, 로봇자동화공학부, 생활환경공학부(건축, 생명화학, 바이오융합)
컴퓨터공학부, 경영학부,
생활환경공학부(실내, 시각)
언어
영어
영어
선발방법
신청자 대상 모의 토익시험 실시
신청자 대상 모의 토익시험 실시
선발인원
15
15
비고
홈스테이
기숙사
※ 토익유형시험 실시 일정은 차후 신청자들에게 공지 예정
※ 선발인원 : 선발인원 중 외국어능력강화프로그램 이수자는 모의 토익시험에 가산점 부여
※ 상기 일정은 연수기관의 상황 등에 따라 변경될 수 있으며, 교육기간이므로 실제 출국 날짜는 다를 수 있음
※ 1)지원가능전공 : 뉴질랜드는 공학계열의 전공연수로 진행될 예정이며, 싱가포르는 IT, 경영, 디자인 계열의 전공연수로 진행될 예정임
4. 지원자격 : 본교 재학생 (휴학생 제외)
5. 신청방법 : 신청하기 바로가기 -> DOIT에서 신청
6. 추후일정
- 연수생 확정 발표 : 2022년 11월 25일(금) 예정
7. 연수비용 및 기타
- 공통사항 : 교육비, 기숙사(홈스테이)비는 대학에서 지원, 기초생활수급자의 경우 항공료 전액 지원
- 왕복항공료는 개인부담
- 항공권 예약은 원활한 진행을 위해 개별적으로 진행할 수 없으며 학교에서 단체로 예약
8. 문의 : 8호관 101호 국제학술교류센터 02-2610-5163
    2022. 11. 15.
 
국제학술교류센터장",,[]
1,3792,2022년 동계방학 집중근로 희망근로지 학생 신청 안내(~11/30 18시까지),박은정,2022.11.15,"※ 2022학년도 2학기 한국장학재단의 국가근로장학금 신청자에 한하여 신청할 수 있음
  2022학년도 동계방학 집중근로 국가근로장학생 모집을 다음과 같이 안내 합니다.
  1. 목적 : 지속적인 국가근로장학생의 자기역량 계발 및 취업능력 향상 제고
2. 근무기간 : 2023. 1. 2.(월) ~ 2023. 2. 10.(금) 까지 
3. 동계방학 집중근로 희망근로지 신청기간(교외근로) 
    - 2022. 11. 21.(월) ~ 11. 30.(수) 18시까지
4. 신청 방법 : 한국장학재단 홈페이지 또는 모바일_첨부 파일 참조
  ※ 신청한 희망근로지 순위대로 사전 선정 실시 예정(최대 5개 선택 가능)
     - 희망근로지 선정 및 입력 후, [신청하기] 버튼을 클릭하지 않아 신청이 안된 사례가 다수 발생하고 있습니다. 
       희망근로지 선택 후, 최종 지원을 하지 않을 경우 프로그램에 참여할 수 없으므로 반드시 신청 후 
       신청현황에서 [신청완료]된 내역을 확인하시기 바랍니다. 

5. 근로장학금 : 시급 11,150원 
6. 근로시간 : 1일 최대 8시간, 주당 최대 40시간(근로장학 시간은 근로기관과 협의) 
7. 기타 문의 : 한국장학재단 1599-2290 

                       학생서비스센터장",,"[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32094/download.do': '붙임1-1. 2022년 동계방학 집중근로 프로그램 희망근로지 신청 매뉴얼(학생용_홈페이지).pdf'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32095/download.do': '붙임1-2. 2022년 동계방학 집중근로 프로그램 희망근로지 신청 매뉴얼(학생용_모바일).pdf'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32096/download.do': '붙임2. 2022년 동계방학 집중근로 프로그램 근로장학생 사전 선정기준(안).pdf'}]"
1,3791,교육부 청년자문단 공개모집,백종훈,2022.11.14,"교육부에서는 정책 과정에 청년의 참여와 소통을 확대하고, 새로운 청년정책 대안을 모색하기 위하여 「교육부 청년자문단」을 공개모집하오니, 많은 참여 바랍니다.

ㅇ 모집대상 : 만 19세 ~ 만 39세 대한민국 청년
    ※ (주민등록상) 생년월일이 1983년 1월 1일 이후부터 2003년 12월 31일까지 가능

ㅇ 모집기간 : 2022. 11. 14.(월) ~ 11. 23.(수)(10일)

ㅇ 모집인원 : 총 20명 내외

ㅇ 모집유형 및 인원 : 5개 유형, 총 20명 내외
   - 모집유형 : ▲직업계고 졸업생, ▲대학(졸업)생, ▲대학원(졸업)생, ▲전문대학(졸업)생, 평생교육 대상자 등 총 5개 유형
   - 성별, 지역 등을 고려하여 선발하며 자립준비청년 및 장애청년 등 우대

붙임  1. 교육부 청년자문단 모집 공고문 1부.
         2. 청년자문단 모집 홍보 포스터 1부.  끝",,"[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32089/download.do': '교육부 청년자문단 모집 공고문_.hwp'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32090/download.do': '청년자문단 모집 홍보 포스터.pdf'}]"
1,3790,제4기 국립외교원 국민외교아카데미 대학생 외교 연수 과정 참가자 모집,백종훈,2022.11.11,"국민외교아카데미는 국민에게 외교 전반에 대한 경험과 정보를 제공하여, 국민의 외교와 외교 정책에 대한 관심과 이해를 제고하고, 국민의 외교역량을 강화하기 위한 최초의 정부 주도 대국민 외교 학습·교육 프로그램

□ 참가대상 : 2023년 1월 기준 국내 대학 재학생 전학년(전공 제한 없음, 휴학생 및 졸업예정자 포함)
□ 선발절차 : 서류제출 - 대학추천 - 선발 - 교육
□ 선발기준 : 대학별 추천자 중 자기소개서 및 지원동기를 기준으로 학년, 성별 및 지역별 비율을 고려하여 선발
□ 제출기간 : 2022.12.09.(금)
□ 제출처 : 학생서비스센터(7,8번 창구)
□ 제출서류 : 참가신청서, 개인정보이용동의서

□ 대학생 외교 연수 과정 이수자에게는 국립외교원장 명의 수료증 부여 예정이며, 실습(워크숍) 우수자 시상 예정

□ 문의 : 국립외교원 기획협력과(placo@mofa.go.kr,02-3497-7788)  ",,"[{'https://www.dongyang.ac.kr/bbs/dongyang/7/32086/download.do': '(학생별)국민외교아카데미 참가신청서(대학생 외교 연수 과정_학생 본인 작성).hwp'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32087/download.do': '(학생별)개인정보이용동의서(대학생 외교 연수 과정_학생 본인 작성).pdf'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/32088/download.do': '제4기 대학생 외교 연수 과정 포스터.pdf'}]"
