major_code,num,title,writer,date,content,img_url,file_url
505,210,"[시각] 휴보강 안내-디지털프로덕트 디자인세미나(Z7), 모션그래픽스(Z1), 영상콘텐츠와창업(Z2)",김병숙,2022.05.11,,https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/(2022-1)_%ED%9C%B4%EB%B3%B4%EA%B0%95_%EC%95%88%EB%82%B4_0511_2.jpg,[]
505,209,[시각] 2022년 탄소중립 캠페인송 영상 공모전 안내,김병숙,2022.05.11,"환경부 [2022년 탄소중립 캠페인송 영상 공모전] 관련하여 안내해드립니다.
참가를 원하는 학생분들은 아래의 내용을 확인하시기 바랍니다.





공모주제
탄소중립 생활 실천을 주제로 탄소중립 캠페인송 <해요(netzero)>에 어울리는 영상

공모기간
2022.4.22(금) ~ 7.29(금)

공모자격
탄소중립에 관심이 많은 대한민국 거주자 누구나

탄소중립 캠페인송 <해요(netzero)> 들어보기 https://www.youtube.com/watch?v=TzhV3VF13GQ

공모전 세부내용
탄소중립 캠페인송 영상 공모전에 대한 자세한 내용은 공모전 사이트(www.netzerosong2022.kr)를 통해 자세히 알아볼 수 있습니다.",https://www.dongyang.ac.kr/CrossEditor/binary/images/000007/%ED%83%84%EC%86%8C%EC%A4%91%EB%A6%BD_%EC%BA%A0%ED%8E%98%EC%9D%B8%EC%86%A1_%EC%98%81%EC%83%81%EA%B3%B5%EB%AA%A8%EC%A0%84_%ED%8F%AC%EC%8A%A4%ED%84%B0.jpg https://fonts.gstatic.com/s/e/notoemoji/14.0/25b6/32.png https://fonts.gstatic.com/s/e/notoemoji/14.0/25b6/32.png https://fonts.gstatic.com/s/e/notoemoji/14.0/25b6/32.png https://fonts.gstatic.com/s/e/notoemoji/14.0/25b6/32.png https://fonts.gstatic.com/s/e/notoemoji/14.0/25b6/32.png,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30864/download.do': '탄소중립 캠페인송 영상 공모전 모집요강.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30865/download.do': '탄소중립_캠페인송_영상공모전_포스터.jpg'}]"
505,208,[학부] 전자출결시스템 이용 안내,황진하,2022.05.10,"전자출결시스템 이용 안내



2022학년도에 새롭게 도입된 전자출결시스템은 모바일 블루투스 기술의 편리성을 활용하여
교수 ↔ 학생 간 양방향 통신을 통해 출결이 가능합니다.
학생들께서는 아래 안내를 참조하시어 App을 설치하시기 바랍니다.


1. 이용 안내
 □ App 설치는 2번 안내를 참조하여 설치
 □ 아이디와 패스워드는 대학 포털시스템 아이디와 패스워드 동일 사용 
 □ 대면 수업 시에만 사용 가능

2. App 설치 안내

운영체제
App 설치 방법
android
(삼성)
    휴대폰 「Play Store」에서 「동양미래대학교 전자출결」 검색 후 설치
    ※ 안드로이드 이용자는「설정▶블루투스 항상켜기」로 설정
ios
(애플)
    휴대폰 「App Store」에서 「동양미래대학교 전자출결」 검색 후 설치
    ※ 아이폰 이용자는 설치 후 「설정▶위치▶항상」으로 설정

3. 이용 매뉴얼 : 붙임 파일 참조  


붙임 1. 전자출결시스템_학생 앱_사용설명서 1부.
        2. 전자출결시스템_학생 앱_간단사용설명서 1부.  끝.



2022. 5. 10.

생 활 환 경 공 학 부",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30856/download.do': '[붙임 1] 전자출결시스템_학생 앱 사용설명서.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30857/download.do': '[붙임 2] 전자출결시스템_학생 앱 간단사용설명서.pdf'}]"
505,207,[시각] 2022학년도 마일리지장학금 시행 안내,김병숙,2022.04.26,"2022학년도 마일리지장학금 안내

마일리지장학금 관련 정보 및 각종 장학금 정보를 친구톡(카카오채널)으로 안내하고 있습니다.
동양미래대학교 카카오채널 추가 하셔서 장학금 관련 안내 놓치지 마세요!!
▶ 동양미래대학교 카카오채널  :  http://pf.kakao.com/_xmWSQxb 

□ 대상 : 재학생(졸업예정자 포함)

□ 평가영역 
- 전문성 : 전공능력, 글로벌역량, 취업역량
- 인    성 : 자기관리역량, 성실과 열정
- 사회성 : 리더십역량, 공동체역량, 봉사역량

□ 평가기간 : 2022년 3월 이후의 이력부터 인증 대상

□ 장학생 선발 규모 : 그룹별 각 30명, 총 150명 선발

  ■ 장학금액
  - 1그룹 700,000원/인
  - 2그룹 600,000원/인
  - 3그룹 500,000원/인
  - 4그룹 400,000원/인
  - 5그룹 300,000원/인

□ 인증방법 및 일정
    ■ 학생
  - 입력방법 : 학생종합관리시스템(DOIT)->경력개발->경력관리 입력
  - 입력기간 : 2022.05.02.(월) ~ 2022.12.12.(월)
     ■ 행정부서 및 학부(과)
  - 입력방법 : 담당자가 내용 확인 후 일괄 입력 및 인증
  - 인증기간 : 2022.05.02.(월) ~ 2022.12.16.(금)

※ 마일리지 평가 기준에 따라 평가 후 고득점 순으로 대상자 선발하여 2022.12.30.(금) 장학금 지급 예정(일정 변동 가능)

※ 장학성격 : 등록금 범위 외 장학금

※ 영역별 배점표는 첨부파일 확인",https://www.dongyang.ac.kr/CrossEditor/binary/images/000006/%EC%A0%9C%EB%AA%A9%EC%9D%84-%EC%9E%85%EB%A0%A5%ED%95%B4%EC%A3%BC%EC%84%B8%EC%9A%94_-001.jpg,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30798/download.do': '2022학년도 마일리지 장학금 안내.hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30799/download.do': '2022학년도 마일리지 장학금 영역별 배점표.xlsx'}]"
505,206,[시각] 2022년 전문기술인재장학금 신규장학생 신청 안내,김병숙,2022.04.22,"전문기술인재장학금 신규장학생 선발 안내(시각디자인과)
  1
  목적

□ 취업역량개발 노력이 우수한 학생이 안정적으로 학업 및 자기개발에 정진할 수 있도록 지원하여 전문기술인재로 육성하기 위함

□ 우수 학생을 발굴·지원하여 고등직업교육에 대한 기회 균등을 보장함으로써 포용국가 실현에 기여하기 위함

  2
  개요

□ 대상 : 대한민국 국적 소지 재학생 중 종합적 취업역량개발 노력과 성취가 우수한 학생
( ※ 세부내용은 첨부파일의 ‘추천 자격’ 참조)

□ 기간 : 연 단위로 선발하여 2개 학기 계속 지원
※ 단, 1학기 선발 장학생이 2학기에 선발기준(재학중이며 직전학기 12학점 이상 이수하고 직전학기 백분위 점수 80점 이상)을 미충족할 경우 1개 학기만 지원하는 일시지원 장학생 추가 선발
    □ 선발인원 : 생활환경공학부 전체 신청 인원 중 3명 추천
  □ 신청기한 : 2022년 5월 2일(월) 까지
  □ 신청방법 : 학과 선발 제출 서류를 준비하여 기한 내 e메일로 제출 후 학과로 전화
☞ 접수 담당자 : 시각디자인과 김병숙
(제출 e메일 : k1962@dongyang.ac.kr , 전화 : 02-2610-1962)
  □ 제출 서류 

• 장학생 신청 및 추천서(공통 대학 양식) 1부
• 장학금 신청자 영역별 평가표(공통 대학 양식) 1부
• 평가 실적 증빙 서류(2학년 해당자에 한함) 각 1부
• 장학금 반환 서약서(공통 대학 양식) 1부
• 전문기술인재장학금 학업계획서(공통 재단 양식) 1부
  □ 2022년도 지원내용

구 분
지원금액
배정인원
비고
1유형
• 등록금 전액
• 생활비 200만원/학기
5
  2유형
• 등록금 전액
10
 
# 자세한 지원사항은 첨부파일(""전문기술인재장학금 신규장학생 자체선발 기준"")을 참조하시기 바랍니다.",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30748/download.do': '2022년 전문기술인재장학금 신규장학생 자체선발 기준(시각디자인과).hwp'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30812/download.do': '신입생용 장학금 신청 및 추천 관련 양식.zip'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30813/download.do': '재학생(2학년)용 장학금 신청 및 추천 관련 양식.zip'}]"
505,205,[시각] 2022학년도 1학기 9주차 이후 수업 운영 및 강의시간표 안내,김병숙,2022.04.22,"                 2022학년도 1학기 9주차 이후 수업 운영 및 강의시간표 안내
 
※ 수업 운영 계획은 질병관리청과 교육부의 학교 수업에 대한 기준 및 코로나19 상황에 연동 하여 조정됩니다.

1. 기간 : 4월 28일(목)부터 학기 말까지

2. 운영방식 : 

구분 학년 수업방식
정규수업 1
 전체 전공강좌 대면수업
( 2학년 'UX디자인' 강의는 교내사업으로 원격수업 콘텐츠를 개발한 교과목임으로 혼합형(대면+비대면)으로 진행 )
2
야간 산업체위탁 1 일부 수업 비대면으로 진행 ( 수업별 진행방식은 교수님 공지 또는 강의시간표에서 확인 )
전공심화 3
4

 가) 실험실습을 1시간이라도 포함한 교과목은 대면 수업 원칙

 나) 2022-1학기 성적평가 방법은 '절대평가 방식'으로 진행

 다) 음식 또는 음료 섭취는 강의실, 실습실, 도서관, 동아리실, 라운지(1인 학습실 포함) 등의 공간에서는 불가하며, 개인별 칸막이가 설치된 학생식당이나 식음료점에서만 가능

 라) 필수교양 '진로설계와 실천인성'의 경우, 수업이 비대면으로 진행될 예정이나 강좌별로 진행사항이 다를 수 있기에 강좌별로 교수님의 공지를 통해 수업방식 확인


3. 코로나 확진 시 출석인정 및 대처방법

※ 확진으로 인한 격리로 대면 수업 출석이 불가능한 학생의 '공적 사유로 인한 출석 인정 신청'
  - 인정 기간 : (5월 하순으로 예상되는) 격리조치 해제 시까지
  - 인정 조항 : 「학칙시행세칙」 제37조(출석인정 및 허가) 제1항 제1호 ‘국가에서 부과한
                     의무를 수행하기 위한 기간’으로 신청
  - 증빙 : 확진과 격리기간이 나타나 있는 문자 메시지 등

※ 격리기간 종료 후 몸이 아프거나 5월 하순 격리조치 해제 후에는 「학칙시행세칙」제37조
    (출석인정 및 허가) 제1항 제6-1호 ‘일반 질병’으로만 신청 가능
  - 증빙 : 의료기관 진단서 또는 병명이 기재된 진료확인서

 가) 코로나 확진이 된 경우, 결석하게 될 수업의 담당교수님과 학과사무실에 연락하여 확진 사실을 알려주시기 바랍니다.

 나) 밀접접촉자에 해당하는 경우, 교내 '신속항원검사소'를 이용하거나 개인적으로 자가진단키트를 사용하시기 바랍니다.
     - 교내 신속항원검사소 안내 링크 ( https://www.dongyang.ac.kr/bbs/dongyang/7/119279/artclView.do?layout=unknown )

다) 휴일 중 확진 시 대처방법 안내 링크 ( https://www.dongyang.ac.kr/bbs/dongyang/7/119203/artclView.do?layout=unknown ) ",,[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30810/download.do': '1.학과강의시간표(2022.04.22.).pdf'}]
505,204,[학부] 2022학년도 1학기 9주차 이후 수업 운영 방안 안내,황진하,2022.04.20,"    2022학년도 1학기 9주차 이후 수업 운영 방안 안내


※ 수업 운영 계획은 질병관리청과 교육부의 학교 수업에 대한 기준 및 코로나19 상황에 연동 하여 
    조정됩니다.

1. 기간 : 4월 28일(목)부터 학기 말까지

2. 실험실습을 1시간이라도 포함한 교과목은 대면 수업 원칙
  ※ 확진으로 인한 격리로 대면 수업 출석이 불가능한 학생의 '공적 사유로 인한 출석 인정 신청'
    - 인정 기간 : (5월 하순으로 예상되는) 격리조치 해제 시까지
    - 인정 조항 : 「학칙시행세칙」 제37조(출석인정 및 허가) 제1항 제1호 ‘국가에서 부과한 의무를  
                         수행하기 위한 기간’으로 신청
    - 증빙 자료 : 확진과 격리 기간이 나타나 있는 문자 메시지 등

  ※ 격리기간 종료 후 몸이 아프거나 5월 하순 격리조치 해제 후에는 「학칙시행세칙」제37조
      (출석인정 및 허가) 제1항 제6-1호 ‘일반 질병’으로만 신청 가능
    - 증빙 : 의료기관 진단서 또는 병명이 기재된 진료확인서


3. 이론 수업도 대면 수업을 권고하나 학과의 상황에 따라 온라인 진행도 가능

4. 수업 운영 형태 : 매주 동일 형태 운영
 - 대면 수업과 비대면 수업을 주차별로 선택하여 운영하는 것은 불가
 - 교내 사업으로 원격수업 콘텐츠를 개발한 교과목은 개발 형태에 따라 원격수업 또는 혼합형
    (주차별 비대면+대면) 수업으로 운영 가능(단, 대면 수업 시간이 명시되어 매주 동일한 방법
    으로 운영되어야 함) 

5. 교수 확진 시 즉시 비대면 수업으로 전환 가능

6. 기말 평가는 대면 평가 시행 원칙

7. 음식 또는 음료 섭취는 강의실, 실습실, 도서관, 동아리실, 라운지(1인 학습실 포함) 등의 공간
    에서는 불가하며, 개인별 칸막이가 설치된 학생식당이나 식음료점에서만 가능


※ 강좌별 수업방식은 eClass 공지사항에서 확인할 수 있습니다.


                                                            2022. 4. 20.                                        
                                               생 활 환 경 공 학 부",,[]
505,203,[시각] 2022학년도 1학기 중간고사 시행 안내,김병숙,2022.04.13,"             2022학년도 1학기 중간고사 시행 안내


정부의 '코로나19 방역 지침'을 준수하고 강의실 및 실험·실습실을 포함한 대학 전체 건물을 
철저한 방역을 진행하면서 2022-1학기 중간고사를 다음과 같이 시행함을 알려드립니다. 

1. 기간
 가. 전공 : 2022.04.21.(목), 04.25.(월), 04.27.(수) ☞ [붙임3] 2022-1학기 중간고사 시간표(시각디자인과) 파일 참고
 나. 교양 : 2022.04.22.(금), 04.26.(화) ☞ [붙임2] 2022-1 중간고사 교양과목 시간표(공지용) 파일 참고

2. 평가방법 : 교과목 특성에 따라 비대면 평가로 진행합니다. 
(※ 수업진행 및 평가 방법에 대한 내용은 수강 강좌별 중간고사 시간표 및 교수님 공지사항 확인)

3. 대면 평가 시행 시 유의사항
 ⦁ 의심 증상이 있어 시험 당일 등교가 불가능하고 진료확인서 제출이 어려운 경우에는 홀로 또는
   충분한 거리두기가 확보되는 소수만으로 평가하는 방법을 제공함
    (단, 해당 학생이 담당교수에게 시험 전에 알린 경우에 한함)
 ⦁ 코로나19감염증 예방을 위한 방역수칙 준수
   1) 마스크 착용
   2) 입실 전 손 소독제 사용
   3) 책상, 의자, PC 등 손이 닿는 부분은 소독 티슈로 닦은 후 사용
   4) 교내 상주 시간을 줄이기 위해 가능한 시험 시작 시간에 맞춰 등교
   5) 본인 시험 종료 후 즉시 귀가
   ※손 소독제와 소독 티슈는 각 강의실 출입문 밖에 비치 예정

4.코로나19감염증 관련 결시 인정 기준
 ⦁ 「학칙시행세칙」제41조(시험결시자성적처리) 중 ‘국가에서 부과하는 의무수행으로 인한 결시’로 
   인정하여 기말 평가 성적의 100%를 인정함
 ⦁ 확진, 자가격리 등으로 인한 결시는 증빙서류(입·퇴원 확인서, 보건소 자가격리 통지 문자 등)를 
   제출해야 인정됨
     ※ 비대면 평가는 평가시스템에 접속이 불가한 경우만 인정됨
 ⦁ 대면 평가에 참석한 학생 중 확진자가 발생하고, 이로 인해 같은 시간, 같은 강의실을 이용한 학생들이
   다른 평가에 참석하지 못한 경우 결시신청서를 제출하면 인정됨",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30648/download.do': '[붙임1] 2022학년도 1학기 중간고사 출석 협조 요청.pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30649/download.do': '[붙임2] 2022-1 중간고사 교양과목 시간표(공지용).pdf'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30650/download.do': '[붙임3] 2022-1학기 중간고사 시간표(시각디자인과).pdf'}]"
505,202,[시각] <국가연구안전관리본부> 2022년 연구실 안전 유공자 표창 및 대국민 공모전 개최 안내,김병숙,2022.04.07,"<국가연구안전관리본부> 2022년 연구실 안전 유공자 표창 및 대국민 공모전 개최 안내

국가연구안전관리본부는 '2022년 연구실 안전 유공자 표창 및 연구실 안전 대국민 공모전'을
아래와 같이 추진하오니 많은 참여 바랍니다.

1. 연구실 안전 유공자 표창
- 목적 : 연구실 안전사고 예방 및 안전문화 확산에 적극 기여한 개인·단체를 발굴·표창하여
            그간의 노고를 격려하고, 우수한 성과 및 사례를 공유하여 안전문화 확산에 기여
- 표창대상 : 개인(관리자, 연구활동종사자), 기관(법 대상기관, 유관기관 및 단체)
- 표창규모 : 과학기술정보통신부 장관 표창 11점(개인 8점, 기관 3점), 상금 각 2백만원
                ※ 접수 및 심사 결과에 따라 조정될 수 있음
- 접수기간 : 22. 4. 1.(금) ~ 22. 6. 30.(수) 18:00 까지
- 홈페이지 : 국가연구안전정보시스템 내 공지사항 (바로가기)

2. 연구실 안전 대국민 공모전
- 목적 : 연구실 안전문화 확산 및 연구실 사고를 예방하기 위해 널리 홍보하고 국민적 공감대를
          이끌어 낼 수 있는 다양한 콘텐츠 발굴 및 전파
- 구분 : ① 연구실 안전 콘텐츠 공모전  ② 사전유해인자위험분석보고서 경진대회
- 시상규모 : 총 3,850만원, 28명 시상(콘텐츠 : 3,350만원, 24명 시상 / 경진대회 : 500만원, 4명 시상)
                ※ 접수 및 심사결과에 따라 조정될 수 있음
- 접수기간 : 22. 4. 1.(금) ~ 22. 6. 30.(수) 18:00 까지
- 홈페이지 : 국가연구안전정보시스템 내 공지사항 (바로가기)


  붙임 1. 2022년 연구실 안전 유공자 표창 관련자료
  붙임 2. 2022년 연구실 안전 콘텐츠 공모전 관련자료 끝.",,"[{'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30587/download.do': '붙임 1. 연구실 안전 유공자 표창.zip'}, {'https://www.dongyang.ac.kr/bbs/dmu_21096/330/30588/download.do': '붙임 2. 연구실 안전 대국민 공모전.zip'}]"
505,201,"[건축, 실내, 시각] 2022 문화재돌봄 콘텐츠 공모전",김혜림,2022.04.06,"<2022 문화재돌봄 콘텐츠 공모전 안내>

문화재청과 전통건축수리기술진흥재단 중앙문화재돌봄센터에서는 우리 문화재예방관리를 위해 문화재돌봄사업을 진행하고 있습니다.
국민과 함께 우리 문화재 훼손을 사전에 예방하고, 본 사업을 널리 알리기 위해 ""2022 문화재돌봄 콘텐츠 공모전""을 개최하였습니다.

■ 참여대상 : 전 국민

■ 공모부문 : 일러스트 / 인스타툰

■ 접수기간 : ~22. 5. 2. (월) 24시까지

■ 공모전 홈페이지 : www.spectory.net/chdolbom/contents 


  붙임 1. 문화재돌봄 콘텐츠 공모전 공모요강. 끝.


2022. 4. 6.
생활환경공학부(건축·실내·시각)",https://www.dongyang.ac.kr/CrossEditor/binary/images/000006/%EB%AC%B8%ED%99%94%EC%9E%AC%EB%8F%8C%EB%B4%84_%EC%B5%9C%EC%A2%85%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%83%81%ED%9B%88%EC%B6%94%EA%B0%80ver_r_5.jpg,[{'https://www.dongyang.ac.kr/bbs/dmu_21096/297/30577/download.do': '문화재돌봄 콘텐츠 공모전 공모요강.pdf'}]
