major_code,num,title,writer,date,content,img_url,file_url
1,3597,전자출결 푸시(PUSH) 서비스 운영에 따른 전자출결 앱 업데이트 안내,박재선,2022.06.10,"전자출결 푸시(PUSH) 서비스 운영에 따른 전자출결 앱 업데이트 안내

   교수와 학생 간 양방향 소통을 강화하고자 전자출결 앱을 이용한 푸시(PUSH) 서비스를 시행합니다. 
본 푸시(PUSH) 서비스를 활용하여 수업 및 학사 안내를 진행 하오니 학생 여러분들은 다음 안내에 따라
설치한 전자출결 앱을 업데이트 해주시기 바랍니다.

1. 사용 방법
  - 전자출결 앱 기설치학생 : 기존 앱 업데이트
  - 전자출결 앱 미설치학생 : Play Store(안드로이드) 또는 App Store(iOS)에서 ‘동양미래대학교 전자출결’ 
                                   검색 후 설치

2. 서비스 시작 일정 : 2022. 06. 10.(금)부터



<추가 정보 안내>

               스마트캠퍼스 앱 재설치 안내

모바일 환경에서 대학의 정보서비스를 이용할 수 있도록 지원하였던 스마트캠퍼스 앱이 업그레이드
되어 같이 안내 드리오니 참조하시기 바랍니다.

1. 사용 방법
  - 기존 앱 삭제 후, Play Store(안드로이드) 또는 App Store(iOS)에서 ‘동양미래대학교 스마트캠퍼스’ 
    검색 후 설치 (재설치 이후 버전 : 2.0.5.)

2. 개선 내용 : 스마트캠퍼스 앱에서 대학의 주요 정보서비스 연결 및 활용 지원",,[]
1,3596,2022학년도 하계 계절학기 수강 신청 안내,박재선,2022.06.10,"    2022학년도 하계 계절학기 수강 신청 안내


※ 코로나19 감염증 확산이 감소함에 따라 교내 교과목만 개설하며, OCU 교과목은 개설하지 않음
  1. 수강 신청 대상자 : 2022-1학기를 이수한 재학생
  2. 주요 일정
구분
일정
비고
수강신청기간
2022. 07. 04(월) 10시 ~ 07. 05.(화), 16시
e서비스에서 신청
등록기간
(수강료 납부)
2022. 07. 06.(수) 10시 ~ 07. 07.(목), 16시
은행 마감 시간까지
수업기간
2022.07.11.(월) ~ 07.22(금)
매일 출석 수강
성적 확정일
2022.07.27.(수)


  3. 개설 교과목
이수
구분
교과목명
담당교수
학점
강의 시간
수업형태
강의실
교양
선택
슬기로운직장생활
이지희
2
온라인
비대면
-
처음만나는심리학
우영지
2
온라인
비대면
-
미디어로배우는
영어와문화
강민정
2
10:00~12:50
대면
1호관 101호
영어회화
Stephen
2
14:00~16:50
대면
1호관 101호
창의력과문제해결
(문제해결능력)
유미향
2
14:00~16:50
대면
1호관 207호
※ 비대면 교과목은 중복 수강 신청이 가능하며, 원격수업시스템(eClass)에서 수강
         : https://eclass.dongyang.ac.kr
※ 수강 신청 시 ‘7. 교과목별 평가 방법’을 확인 후 신청
  4. 수강료 : 80,000원/1학점
   예) 영어회화 (2학점) : 2학점 × 80,000원 = 160,000원
  5. 수강신청 방법
▪ 대학 홈페이지 e-서비스 로그인 → 수업과 성적 → 계절학기수강신청
  6. 가상계좌번호 확인 방법
▪ 대학 홈페이지 e-서비스 로그인 → 수업과 성적 → 계절학기수강신청내역조회
  7. 교과목별 평가 방법
교과목명
담당교수
학점
평가 방법
강의실
슬기로운직장생활
이지희
2
⦁ 중간평가 : 과제 제출
⦁ 기말평가 : 17시 ~ 18시 대면 평가
⦁ 평가 세부 사항은 eClass에서 별도 확인
  1호관 207호
  처음만나는심리학
우영지
2
⦁ 중간평가 및 기말평가
09시 ~ 10시 온라인 실시간 평가
⦁ 평가 세부 사항은 eClass에서 별도 확인
-
미디어로배우는
영어와문화
강민정
2
⦁ 대면 수업 시간 중 평가 시행
1호관 101호
영어회화
Stephen
2
⦁ 대면 수업 시간 중 평가 시행
1호관 101호
창의력과문제해결
(문제해결능력)
유미향
2
⦁ 대면 수업 시간 중 평가 시행
1호관 207호
  8. 유의사항
▪ 수강 신청 인원이 10명 미만이면 폐강 처리됨
▪ 정해진 등록기간에 수강료를 납부하지 않으면 수강 신청은 자동 취소됨
▪ 등록기간(수강료 납부기간) 이후에는 수강 취소 및 과목 변경이 불가함
▪ 대면 수업은 7/11(월) ~ 7/22(금)까지 매일 출석해야 함
▪ 재수강 신청은 기 취득학점이 삭제되고 신규 취득학점만 인정됨을 유의 바람
▪ 기타 궁금한 사항은 교학처 수업담당자(2610-1708)에게 문의 바람
                                           2022년 6월 10일
                            교 학 처 장",,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/31068/download.do': '[붙임] 2022학년도 하계 계절학기 수강신청 안내.hwp'}]
1,3595,2022 『내가 한국바로알리기의 주인공』 에세이 공모전 안내,백종훈,2022.06.09," 한국학중앙연구원에서는 한국바로알리기 사업(외국교과서 분석 및 한국 관련 오류시정 활동, 한국이해자료 개발·배포 등)을 통해 국제 사회에서의 대한민국 이미지 개선을 위해 노력하고 있습니다.

 이와 관련, 세계 속의 한국 이미지를 개선하고 한국이해자료에 대한 관심을 높이기 위하여 2022 『내가 한국바로알리기의 주인공』 에세이 공모전을 개최합니다.

  가. 공 모 명: 2022 『내가 한국바로알리기의 주인공』에세이 공모전
  나. 공모내용: 공모전 안내문 및 포스터 참조
  다. 접수기간: 2022.6.1.(수) ~ 7.31.(일)
  라. 응모자격: 외국인, 재외국민
  마. 제출방법: 한국학중앙연구원 홈페이지(https://www.aks.ac.kr) 공지사항에서 신청서 다운로드 후 이메일(highspirit@aks.ac.kr) 접수
  바. 결과발표: 2022.9.20.(화) (홈페이지 공지 및 입상자 개별 통보)
  사. 문의: 한국학중앙연구원 한국바로알리기사업실(E-mail: highspirit@aks.ac.kr)

붙임 1. 신청서 양식 1부
        2. 공모전 안내문(국·영문) 각 1부
        3. 공모전 포스터(국·영문) 각 1부. 끝.",,"[{'https://www.dongyang.ac.kr/bbs/dongyang/7/31062/download.do': '2022_공모전_신청서.doc'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/31063/download.do': '2022_공모전_안내_국문.doc'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/31064/download.do': '2022_공모전_안내_영문.doc'}, {'https://www.dongyang.ac.kr/bbs/dongyang/7/31065/download.do': '2022_공모전_포스터(국.영문).pdf'}]"
1,3594,[재공지] 2022년 1학기 국가장학금 1차 신청 안내(~ 6/23일까지),박은정,2022.06.09,"2022년 2학기 국가장학금 1차 신청 일정을 안내하여 드립니다.

가. 학생 신청 : 2022. 05. 24.(화) 9시~ 06. 23.(목) 18시(총 31일간)
나. 서류제출 및 가구원 동의 : 2022. 05. 24.(화) 9시~ 06. 27.(월) 18시
다. 신청 대상 : 재학생, 신입생, 편입생, 재입학생, 복학생 등 모든 대학생
※ 재학생은 반드시 해당 기간 내에 신청해야 하며 미신청 학생은 재학중 2회에 한하여 구제신청 가능
  라. 한국장학재단 홈페이지와 모바일앱을 통해 신청
 1. 홈페이지 주소 : www.kosaf.go.kr
 2. 모바일 앱 주소: mo.kosaf.go.kr/apps

마. 기타사항
  1) 국가장학금 신청자의 학자금지원구간 산정결과는 교내 장학금(미래장학금)의 수혜 대상 여부의 판단 근거가 됨 (학자금지원구간 산정 결과)
     - 2022-2학기 미래장학금은 해당학기(2022-2) 학자금 지원구간 있어야 함
        이에 국가장학금을 수혜하고 휴학 후 복학한 학생도 해당학기(2022-2) 미래장학금을 수혜하고자 할 경우에는 학자금 지원구간이 산정될 수 있도록 해당학기(2022-2) 국가장학금을 신청하시기 바람
     - 미 신청자는 해당학기(2022-2) 학자금 지원구간 확인 불가로 미래장학금 선발 대상에서 탈락 될 수 있음
  2) 장학금 신청시 e-서비스에 입력한 국민은행 계좌를 입력 요망
  3) 학사학위 전공심화과정 학생은 학과명 선택시 ""00학과(전공심화)""로 선택 요망
     - 학사학위 전공심화과정 재학생 : ""재학생""으로 입력

바. 문의처 : 한국장학재단 고객상담센터 1599-2000(평일 09:00~18:00까지)",,[]
1,3593,2022년 2학기 농림축산식품부 대학장학금 안내(농업인자녀 장학지원 확대),서지혜,2022.06.08,"2022년 2학기 농림축산식품부 대학장학금 안내

농어촌희망재단에서는 2022.2학기 농림축산식품부 대학장학생을 선발합니다.

■ 청년창업농육성장학금 : 등록금 전액 + 학업장려금 250만원
  *정규학기 초과자 지원가능(최대 4회 이내)
  **학업장려금 200만원에서 250만원으로 확대
  ***계획서 작성 간소화

■ 농업인자녀 장학금 : 학기당 50만원~350만원(학자금 지원 구간에 따라 차등지급)
  *정규학기 초과자 지원가능(최대 8회 이내)
  **기초~6구간에서 8구간까지 학자금 지원구간 확대
  ***최대 250만원 지원에서 최대 350만원까지 확대
  ****기초~차상위 구간의 경우 학업장려금 100만원 추가 지원(단, 등록금액 중 50만원 단위로 등록금 전액 수혜 시 가능)

■ 신청기간 : 2022.6.21.(화) ~ 7.7.(목) 17시

■ 신청방법 : PC 및 스마트폰으로 신청

■ 신청 및 바로 지원안내 : http://youth.rhof.or.kr/index.do

■ 바로안내 : 상담센터 02-509-2114(실시간) 안내가능",,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/31027/download.do': '[전체대학배포]2022년 2학기 농림부 대학장학금 포스터.jpg'}]
1,3592,DMMC 상반기 창업 육성 세미나 수강생 모집,김아름,2022.06.07,"동양미래대학교 캠퍼스타운사업단에서 (예비)창업가를 위한 DMMC 상반기 창업 육성 세미나 수강생을 모집합니다.

1. 강의 안내

• 모집기간: 6.22.(수) 15시까지

• 강의일정: 2022.06.28.(화) 13시~16시

• 장소: DMMC 2층 강의실 (서울시 구로구 고척동 78-2)

• 수강료: 전액 무료

• 주제: 창업, 시작하고 살아남기 (플랫폼 창업 및 비즈니스모델 수립 노하우 공유)

• 강사: 최대헌 강사님
 - 최초의 매장공유 스타트업인 마이샵온샵 대표
 - 누적 4,000개 이상의 매장 등록
 - 서울산업진흥원 투자유치, 서울시 공유기업, 한국국토정보공사 지정 최우수 공간정보 스타트업

2. 신청 안내

• 신청 자격: 창업에 관심이 있는 대학생/ (예비)창업가/ 스타트업 관계자/ 구로구 주민 및 재직자 등

• 신청 방법: 온라인 접수 (https://forms.gle/uCJhh9NJMEPFrZnE9)

• 합격자 발표: 2022.06.23.(목) 15시 이후, 개별통보
※ 상기 일정은 내부 상황에 따라 변경될 수 있음

• 문의: 동양미래대학교 캠퍼스타운사업단 T. 02-2625-9553

• 자세한 내용은 블로그를 확인해주시기 바랍니다.
(https://blog.naver.com/dy_campustown/222735926997)",https://www.dongyang.ac.kr/CrossEditor/binary/images/000008/%EC%84%B8%EB%AF%B8%EB%82%98(%EC%83%81%EB%B0%98%EA%B8%B0)_%ED%8F%AC%EC%8A%A4%ED%84%B0_0607_1.jpg,[]
1,3591,[공학센터] 산학협력공동교육캠프 및 디자인씽킹교육 수상 안내,나준현,2022.06.07,"한국산업기술진흥원(KIAT)에서 시행하는 2022년도 ‘창의융합형 공학인재양성지원사업’의 일환으로, 6월 2~3일에 영남이공대학교가 개최하고 전국 전문대학교 공학기술교육혁신센터가 참여한 『산학협력 공동교육캠프』와 『디자인씽킹 교육』에서 동양미래대학교 재학생이 다음과 같이 수상하였음을 알려드립니다.



- 다 음 -


수상부문
수상내용
수상자
작품내용
산학협력 공동교육캠프
대상
강준묵, 김나경, 김혜원
(이상, 생명화학공학과)
플로란을 이용한 생분해 빨대
디자인씽킹교육
대상
박종현 외5인
(건축과 및 타교생 융합팀)
카페 빈자리여부 확인과 예약시스템을 도입한 통합어플
 
 ",,[]
1,3590,2022 천안시 대학생 학자금 대출이자 지원 사업 안내,박은정,2022.06.07,"ㅇ 신청 대상 
  - 본인이 현재(2022. 6. 6.) 주민등록상 주소가 천안이거나, 직계존속 1인의 주민등록상 주소가 1년 이상 천안으로 되어있는 대학 재.휴학생 및 졸업 후 2년 내 미취업자

ㅇ 지원 내용
  - 2017년부터 한국장학재단에서 대출받은 학자금의 2022년 1월부터 6월까지 발생한 이자 전액 지원
    ※ 단, 대출당시 소득분위 1~8분위에 한함 

ㅇ 지원 방법
  - 한국장학재단에 지급(개인별 계좌로 입금되지 않음)

ㅇ 신청 방법
  - 온라인 : 천안시 홈페이지 – 분야별정보 – 교육 – 학자금 대출이자 지원
  - 우편·방문 : 천안시 서북구 번영로 156, 불당동 천안시청 1층 청년담당관 청년복지팀

ㅇ 신청 기간 
  - 2022. 6. 8.(수) ~ 6. 17.(금)
  - 온라인 :  2022. 6. 17.(금) 24시 마감  
  - 우편·방문 : 2022. 6. 17.(금) 18시 마감",,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/30998/download.do': '대학생 학자금 대출이자 지원사업 안내문.hwp'}]
1,3589,[학생상담센터] 2022-1학기 기말고사 시험불안 특별상담실 운영 안내,박정란,2022.06.07,"학생상담센터에서는 2022학년도 1학기 기말고사 기간 시험불안 특별상담실을 운영합니다.


'시험불안'은 시험 자체에 대한 긴장뿐만 아니라 시험을 준비하는 과정에서 나타나는 예기 불안을 비롯하여 다양한 심리적·신체적 불편함으로 나타날 수 있습니다. 시험을 앞두고 있을 때, 또는 시험을 보고 난 후 우울, 불안, 스트레스, 압박감 등의 심리적어려움이 있는 학생들은 시험불안 상담실을 찾아주세요!


1. 운영기간 : 2022.06.14.(화) ~ 06.22.(수)
2. 운영시간 : 평일 오전 9시 ~ 오후 6시
3. 운영내용 : 시험불안 완화를 위한 심리상담, 스트레스 관련 심리검사 등
  * 모든 심리검사 및 심리상담은 무료이며, 상담내용은 비밀보장됩니다.
  * 상황에 따라 비대면(화상/전화) 또는 대면으로 진행합니다.
  * 센터 운영 상황에 따라 즉각적인 상담 진행이 어려울 수 있으며, 상담 가능 시간을 상담사와 조율 후에 진행할 수 있습니다.
4. 문의 및 신청
   - 전화 : 02-2610-1710
   - 이메일 : counsel@dongyang.ac.kr 
   - 방문 : 3호관 107호 학생상담센터
   - 온라인신청 : https://forms.gle/z3BrUhh4dTFnrrbm6",,[]
1,3588,[장애] SK행복나눔재단 2022하반기 기업연합 채용연계형 훈련생 모집,신유영,2022.06.07,"SK그룹의 사회공헌 재단인 행복나눔재단은 한국장애인고용공단 구로디지털센터와 함께 취업을 희망하는 청년장애인을 위한 맞춤형 직무훈련을 제공하여 
다양한 기업과 채용 연계가 가능한 프로그램을 운영하고 있어 안내드립니다.

1. 훈련개요

  1) 직무: 디자인 경영사무
     -주요업무: 일반사무 및 디자인 제작
     -훈련내용:
       직무소양: 커리어 코칭, 라이프코칭, 비즈니스매너, 면접 준비 등
       오피스 프로그램: 워드프로세서, 파워포인트, 엑셀
       2D 디자인: 포토샵, 일러스트레이터
       프로젝트: 포트폴리오 제작
      ※ ITQ, GTQ 자격취득 지원

  2) 직무: 동영상 SNS 마케팅
     -주요업무: SNS 채널 운영 및 영상 촬영/편집
     -훈련내용: 
       직무소양: 커리어 코칭, 라이프코칭, 비즈니스매너, 면접 준비 등
       오피스 프로그램: 워드프로세서, 파워포인트, 엑셀
       2D 디자인: 포토샵
       SNS 마케팅: 포토샵
       영상촬영/편집: 영상기획, 영상촬영 기초, 영상촬영 프로젝트
                        :동영상편집 기초/활용
       프로젝트: 종합 프로젝트
      ※ ITQ 자격취득 지원
     * 모집인원 : 직무별 최대 10명
  * 훈련기간 : 2022년 7월 4일(월) ~ 2022년 10월 28일(금)(4개월)
  * 훈련장소 : 구로디지털훈련센터(서울 구로구 디지털로 300, 지벨리비즈플라즈 11층)
   ※ 처우 및 계약 기간은 회사 내규에 따름

2. 지원 자격
   - 지원서 제출 시점 장애인복지법에 의한 등록장애인 또는 국가유공자 등 예우 및 지원에 관한 법률 상이등급에 해당되는 자(만 15세 이상)
   - 전공 무관(디자인 및 영상 관련 전공 우대)

3. 채용연계
  - 채용기업 : 총 16개사(직무별 채용기업 상이함)
   ※ 채용기업 추가 모집 중
  - 채용면접 : ‘22.11월 초(기업별 면접전형 상이)
  - 고용형태 : 계약직 채용 후 평가를 통해 정규직 전환
                  4. 선발 프로세스
  - 지원서 접수 → 1차 전형[서류전형] → 2차 전형[면접 및 컴퓨터 활용 평가] →  맞춤훈련생 선발 
   ※ 제출된 서류는 일체 반환 되지 않음
  5. 선발 일정
  - 지 원 서 접 수 : 2022.06.02.(목) ~ 2022.06.21.(화) 18:00까지
  - 서류전형 합격자발표 : 2022.06.22.(수) 
  - 선 발 평 가 : 2022.06.23.(목) ~ 06.24.(금)
  - 훈련대상자 발표 : 2022.06.27(월) 개별통보
  ※ 해당 일정은 변동될 수 있습니다

6. 입학생 특전
  - 훈련비용 전액 무료
  - 훈련참여수당, 교통비 등 월 최대 40만원(해당자)
  - 상해보험 가입

7. 제출서류 및 지원방법
  - 제출서류 
    지원서, 개인정보제공동의서, 복지카드 사본, 자격증 사본(해당자)
  - 제출방법
    이메일을 통해 지원서 첨부파일 발송
    이메일 접수 주소: gurodigital@kead.or.kr
   ※ File명은 반드시 성명으로 표기 예) 기업연합_지원서_디자인경영사무_홍길동

8. 문의
  지원서 접수 및 확인, 맞춤훈련에 관한 사항 
   - 한국장애인고용공단 02-6343-5700



*장애인고용포털 : https://www.worktogether.or.kr/main.do",https://www.dongyang.ac.kr/CrossEditor/binary/images/000008/[%ED%99%8D%EB%B3%B4%EC%9E%90%EB%A3%8C]_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EA%B8%B0%EC%97%85%EC%97%B0%ED%95%A9_%EC%B1%84%EC%9A%A9%EC%97%B0%EA%B3%84%ED%98%95_%EC%B2%AD%EB%85%84%EC%9E%A5%EC%95%A0%EC%9D%B8.jpg,[{'https://www.dongyang.ac.kr/bbs/dongyang/7/30997/download.do': '지원서 및 개인정보 수집·이용 동의서_기업연합 채용연계형 청년장애인.hwp'}]
